valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T13:00:00,23.80,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,0.03
2026-09-07T14:00:00,24.50,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,1.03
2026-09-07T15:00:00,24.80,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,2.03
2026-09-07T16:00:00,24.80,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,3.03
2026-09-07T17:00:00,24.40,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,4.03
2026-09-07T18:00:00,23.40,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,5.03
2026-09-07T19:00:00,22.30,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,6.03
2026-09-07T20:00:00,20.60,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,7.03
2026-09-07T21:00:00,19.90,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,8.03
2026-09-07T22:00:00,19.20,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,9.03
2026-09-07T23:00:00,18.50,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,10.03
2026-09-08T00:00:00,17.90,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,11.03
2026-09-08T01:00:00,17.20,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,12.03
2026-09-08T02:00:00,16.70,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,13.03
2026-09-08T03:00:00,16.30,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,14.03
2026-09-08T04:00:00,15.90,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,15.03
2026-09-08T05:00:00,15.60,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,16.03
2026-09-08T06:00:00,15.20,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,17.03
2026-09-08T07:00:00,14.90,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,18.03
2026-09-08T08:00:00,16.60,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,19.03
2026-09-08T09:00:00,18.70,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,20.03
2026-09-08T10:00:00,20.80,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,21.03
2026-09-08T11:00:00,22.60,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,22.03
2026-09-08T12:00:00,23.50,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,23.03
2026-09-08T13:00:00,24.10,api.open-meteo.com (NBM),2026-09-07T16:57:35.371442Z,24.03
