valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T21:00:00,19.70,api.open-meteo.com,2026-09-07T18:10:48.027542Z,0.82
2026-09-07T22:00:00,17.90,api.open-meteo.com,2026-09-07T18:10:48.027542Z,1.82
2026-09-07T23:00:00,16.20,api.open-meteo.com,2026-09-07T18:10:48.027542Z,2.82
2026-09-08T00:00:00,15.90,api.open-meteo.com,2026-09-07T18:10:48.027542Z,3.82
2026-09-08T01:00:00,15.80,api.open-meteo.com,2026-09-07T18:10:48.027542Z,4.82
2026-09-08T02:00:00,15.80,api.open-meteo.com,2026-09-07T18:10:48.027542Z,5.82
2026-09-08T03:00:00,15.20,api.open-meteo.com,2026-09-07T18:10:48.027542Z,6.82
2026-09-08T04:00:00,14.20,api.open-meteo.com,2026-09-07T18:10:48.027542Z,7.82
2026-09-08T05:00:00,13.20,api.open-meteo.com,2026-09-07T18:10:48.027542Z,8.82
2026-09-08T06:00:00,12.50,api.open-meteo.com,2026-09-07T18:10:48.027542Z,9.82
2026-09-08T07:00:00,12.30,api.open-meteo.com,2026-09-07T18:10:48.027542Z,10.82
2026-09-08T08:00:00,14.70,api.open-meteo.com,2026-09-07T18:10:48.027542Z,11.82
2026-09-08T09:00:00,19.20,api.open-meteo.com,2026-09-07T18:10:48.027542Z,12.82
2026-09-08T10:00:00,23.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,13.82
2026-09-08T11:00:00,26.10,api.open-meteo.com,2026-09-07T18:10:48.027542Z,14.82
2026-09-08T12:00:00,26.60,api.open-meteo.com,2026-09-07T18:10:48.027542Z,15.82
2026-09-08T13:00:00,25.50,api.open-meteo.com,2026-09-07T18:10:48.027542Z,16.82
2026-09-08T14:00:00,27.80,api.open-meteo.com,2026-09-07T18:10:48.027542Z,17.82
2026-09-08T15:00:00,29.90,api.open-meteo.com,2026-09-07T18:10:48.027542Z,18.82
2026-09-08T16:00:00,30.40,api.open-meteo.com,2026-09-07T18:10:48.027542Z,19.82
2026-09-08T17:00:00,30.30,api.open-meteo.com,2026-09-07T18:10:48.027542Z,20.82
2026-09-08T18:00:00,29.60,api.open-meteo.com,2026-09-07T18:10:48.027542Z,21.82
2026-09-08T19:00:00,26.80,api.open-meteo.com,2026-09-07T18:10:48.027542Z,22.82
2026-09-08T20:00:00,22.60,api.open-meteo.com,2026-09-07T18:10:48.027542Z,23.82
2026-09-08T21:00:00,20.30,api.open-meteo.com,2026-09-07T18:10:48.027542Z,24.82
2026-09-08T22:00:00,20.10,api.open-meteo.com,2026-09-07T18:10:48.027542Z,25.82
2026-09-08T23:00:00,19.70,api.open-meteo.com,2026-09-07T18:10:48.027542Z,26.82
2026-09-09T00:00:00,19.20,api.open-meteo.com,2026-09-07T18:10:48.027542Z,27.82
2026-09-09T01:00:00,19.60,api.open-meteo.com,2026-09-07T18:10:48.027542Z,28.82
2026-09-09T02:00:00,18.30,api.open-meteo.com,2026-09-07T18:10:48.027542Z,29.82
2026-09-09T03:00:00,16.30,api.open-meteo.com,2026-09-07T18:10:48.027542Z,30.82
2026-09-09T04:00:00,15.40,api.open-meteo.com,2026-09-07T18:10:48.027542Z,31.82
2026-09-09T05:00:00,14.70,api.open-meteo.com,2026-09-07T18:10:48.027542Z,32.82
2026-09-09T06:00:00,15.10,api.open-meteo.com,2026-09-07T18:10:48.027542Z,33.82
2026-09-09T07:00:00,16.20,api.open-meteo.com,2026-09-07T18:10:48.027542Z,34.82
2026-09-09T08:00:00,16.90,api.open-meteo.com,2026-09-07T18:10:48.027542Z,35.82
2026-09-09T09:00:00,18.10,api.open-meteo.com,2026-09-07T18:10:48.027542Z,36.82
2026-09-09T10:00:00,18.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,37.82
2026-09-09T11:00:00,18.10,api.open-meteo.com,2026-09-07T18:10:48.027542Z,38.82
2026-09-09T12:00:00,17.80,api.open-meteo.com,2026-09-07T18:10:48.027542Z,39.82
2026-09-09T13:00:00,17.90,api.open-meteo.com,2026-09-07T18:10:48.027542Z,40.82
2026-09-09T14:00:00,18.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,41.82
2026-09-09T15:00:00,18.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,42.82
2026-09-09T16:00:00,17.80,api.open-meteo.com,2026-09-07T18:10:48.027542Z,43.82
2026-09-09T17:00:00,16.80,api.open-meteo.com,2026-09-07T18:10:48.027542Z,44.82
2026-09-09T18:00:00,15.90,api.open-meteo.com,2026-09-07T18:10:48.027542Z,45.82
2026-09-09T19:00:00,15.50,api.open-meteo.com,2026-09-07T18:10:48.027542Z,46.82
2026-09-09T20:00:00,14.70,api.open-meteo.com,2026-09-07T18:10:48.027542Z,47.82
2026-09-09T21:00:00,14.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,48.82
2026-09-09T22:00:00,13.60,api.open-meteo.com,2026-09-07T18:10:48.027542Z,49.82
2026-09-09T23:00:00,13.30,api.open-meteo.com,2026-09-07T18:10:48.027542Z,50.82
2026-09-10T00:00:00,13.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,51.82
2026-09-10T01:00:00,12.70,api.open-meteo.com,2026-09-07T18:10:48.027542Z,52.82
2026-09-10T02:00:00,12.20,api.open-meteo.com,2026-09-07T18:10:48.027542Z,53.82
2026-09-10T03:00:00,12.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,54.82
2026-09-10T04:00:00,11.60,api.open-meteo.com,2026-09-07T18:10:48.027542Z,55.82
2026-09-10T05:00:00,11.30,api.open-meteo.com,2026-09-07T18:10:48.027542Z,56.82
2026-09-10T06:00:00,10.90,api.open-meteo.com,2026-09-07T18:10:48.027542Z,57.82
2026-09-10T07:00:00,10.50,api.open-meteo.com,2026-09-07T18:10:48.027542Z,58.82
2026-09-10T08:00:00,10.80,api.open-meteo.com,2026-09-07T18:10:48.027542Z,59.82
2026-09-10T09:00:00,12.70,api.open-meteo.com,2026-09-07T18:10:48.027542Z,60.82
2026-09-10T10:00:00,14.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,61.82
2026-09-10T11:00:00,15.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,62.82
2026-09-10T12:00:00,15.60,api.open-meteo.com,2026-09-07T18:10:48.027542Z,63.82
2026-09-10T13:00:00,16.50,api.open-meteo.com,2026-09-07T18:10:48.027542Z,64.82
2026-09-10T14:00:00,17.40,api.open-meteo.com,2026-09-07T18:10:48.027542Z,65.82
2026-09-10T15:00:00,17.60,api.open-meteo.com,2026-09-07T18:10:48.027542Z,66.82
2026-09-10T16:00:00,17.50,api.open-meteo.com,2026-09-07T18:10:48.027542Z,67.82
2026-09-10T17:00:00,17.30,api.open-meteo.com,2026-09-07T18:10:48.027542Z,68.82
2026-09-10T18:00:00,17.0,api.open-meteo.com,2026-09-07T18:10:48.027542Z,69.82
2026-09-10T19:00:00,15.90,api.open-meteo.com,2026-09-07T18:10:48.027542Z,70.82
2026-09-10T20:00:00,14.50,api.open-meteo.com,2026-09-07T18:10:48.027542Z,71.82
