local_time,temp_c,data_source,collected_at_utc
2026-09-08T00:00:00,15.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T00:20:00,15.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T01:00:00,15.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T01:20:00,14.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T02:00:00,14.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T02:20:00,14.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T03:00:00,13.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T03:20:00,13.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T04:00:00,12.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T04:20:00,12.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T05:00:00,12.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T05:20:00,12.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T06:00:00,11.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T06:20:00,12.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T07:00:00,13.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T07:20:00,15.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T08:00:00,17.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T08:20:00,19.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T09:00:00,20.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T09:20:00,22.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T10:00:00,24.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T10:20:00,25.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T11:00:00,27.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T11:20:00,26.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T12:00:00,27.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T12:20:00,28.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T13:00:00,29.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
2026-09-08T13:20:00,30.0,https://www.weather.gov/wrh/timeseries?site=eddm,2026-09-08T11:37:53.428526Z
