valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T02:00:00,20.20,api.open-meteo.com,2026-09-07T23:17:59.587139Z,0.70
2026-09-08T03:00:00,20.0,api.open-meteo.com,2026-09-07T23:17:59.587139Z,1.70
2026-09-08T04:00:00,19.80,api.open-meteo.com,2026-09-07T23:17:59.587139Z,2.70
2026-09-08T05:00:00,19.40,api.open-meteo.com,2026-09-07T23:17:59.587139Z,3.70
2026-09-08T06:00:00,19.30,api.open-meteo.com,2026-09-07T23:17:59.587139Z,4.70
2026-09-08T07:00:00,19.10,api.open-meteo.com,2026-09-07T23:17:59.587139Z,5.70
2026-09-08T08:00:00,19.10,api.open-meteo.com,2026-09-07T23:17:59.587139Z,6.70
2026-09-08T09:00:00,19.0,api.open-meteo.com,2026-09-07T23:17:59.587139Z,7.70
2026-09-08T10:00:00,18.60,api.open-meteo.com,2026-09-07T23:17:59.587139Z,8.70
2026-09-08T11:00:00,18.50,api.open-meteo.com,2026-09-07T23:17:59.587139Z,9.70
2026-09-08T12:00:00,17.10,api.open-meteo.com,2026-09-07T23:17:59.587139Z,10.70
2026-09-08T13:00:00,16.80,api.open-meteo.com,2026-09-07T23:17:59.587139Z,11.70
2026-09-08T14:00:00,16.20,api.open-meteo.com,2026-09-07T23:17:59.587139Z,12.70
2026-09-08T15:00:00,16.0,api.open-meteo.com,2026-09-07T23:17:59.587139Z,13.70
2026-09-08T16:00:00,15.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,14.70
2026-09-08T17:00:00,15.70,api.open-meteo.com,2026-09-07T23:17:59.587139Z,15.70
2026-09-08T18:00:00,15.40,api.open-meteo.com,2026-09-07T23:17:59.587139Z,16.70
2026-09-08T19:00:00,15.10,api.open-meteo.com,2026-09-07T23:17:59.587139Z,17.70
2026-09-08T20:00:00,15.40,api.open-meteo.com,2026-09-07T23:17:59.587139Z,18.70
2026-09-08T21:00:00,15.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,19.70
2026-09-08T22:00:00,15.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,20.70
2026-09-08T23:00:00,15.30,api.open-meteo.com,2026-09-07T23:17:59.587139Z,21.70
2026-09-09T00:00:00,14.80,api.open-meteo.com,2026-09-07T23:17:59.587139Z,22.70
2026-09-09T01:00:00,15.20,api.open-meteo.com,2026-09-07T23:17:59.587139Z,23.70
2026-09-09T02:00:00,15.20,api.open-meteo.com,2026-09-07T23:17:59.587139Z,24.70
2026-09-09T03:00:00,15.60,api.open-meteo.com,2026-09-07T23:17:59.587139Z,25.70
2026-09-09T04:00:00,15.50,api.open-meteo.com,2026-09-07T23:17:59.587139Z,26.70
2026-09-09T05:00:00,14.70,api.open-meteo.com,2026-09-07T23:17:59.587139Z,27.70
2026-09-09T06:00:00,14.80,api.open-meteo.com,2026-09-07T23:17:59.587139Z,28.70
2026-09-09T07:00:00,14.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,29.70
2026-09-09T08:00:00,15.30,api.open-meteo.com,2026-09-07T23:17:59.587139Z,30.70
2026-09-09T09:00:00,15.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,31.70
2026-09-09T10:00:00,14.80,api.open-meteo.com,2026-09-07T23:17:59.587139Z,32.70
2026-09-09T11:00:00,14.50,api.open-meteo.com,2026-09-07T23:17:59.587139Z,33.70
2026-09-09T12:00:00,15.60,api.open-meteo.com,2026-09-07T23:17:59.587139Z,34.70
2026-09-09T13:00:00,17.80,api.open-meteo.com,2026-09-07T23:17:59.587139Z,35.70
2026-09-09T14:00:00,16.80,api.open-meteo.com,2026-09-07T23:17:59.587139Z,36.70
2026-09-09T15:00:00,16.30,api.open-meteo.com,2026-09-07T23:17:59.587139Z,37.70
2026-09-09T16:00:00,17.80,api.open-meteo.com,2026-09-07T23:17:59.587139Z,38.70
2026-09-09T17:00:00,17.60,api.open-meteo.com,2026-09-07T23:17:59.587139Z,39.70
2026-09-09T18:00:00,16.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,40.70
2026-09-09T19:00:00,16.60,api.open-meteo.com,2026-09-07T23:17:59.587139Z,41.70
2026-09-09T20:00:00,16.0,api.open-meteo.com,2026-09-07T23:17:59.587139Z,42.70
2026-09-09T21:00:00,14.60,api.open-meteo.com,2026-09-07T23:17:59.587139Z,43.70
2026-09-09T22:00:00,14.70,api.open-meteo.com,2026-09-07T23:17:59.587139Z,44.70
2026-09-09T23:00:00,14.70,api.open-meteo.com,2026-09-07T23:17:59.587139Z,45.70
2026-09-10T00:00:00,14.60,api.open-meteo.com,2026-09-07T23:17:59.587139Z,46.70
2026-09-10T01:00:00,15.0,api.open-meteo.com,2026-09-07T23:17:59.587139Z,47.70
2026-09-10T02:00:00,14.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,48.70
2026-09-10T03:00:00,14.30,api.open-meteo.com,2026-09-07T23:17:59.587139Z,49.70
2026-09-10T04:00:00,14.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,50.70
2026-09-10T05:00:00,15.0,api.open-meteo.com,2026-09-07T23:17:59.587139Z,51.70
2026-09-10T06:00:00,15.10,api.open-meteo.com,2026-09-07T23:17:59.587139Z,52.70
2026-09-10T07:00:00,15.50,api.open-meteo.com,2026-09-07T23:17:59.587139Z,53.70
2026-09-10T08:00:00,14.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,54.70
2026-09-10T09:00:00,13.90,api.open-meteo.com,2026-09-07T23:17:59.587139Z,55.70
2026-09-10T10:00:00,15.30,api.open-meteo.com,2026-09-07T23:17:59.587139Z,56.70
2026-09-10T11:00:00,15.70,api.open-meteo.com,2026-09-07T23:17:59.587139Z,57.70
2026-09-10T12:00:00,16.10,api.open-meteo.com,2026-09-07T23:17:59.587139Z,58.70
2026-09-10T13:00:00,16.40,api.open-meteo.com,2026-09-07T23:17:59.587139Z,59.70
2026-09-10T14:00:00,16.80,api.open-meteo.com,2026-09-07T23:17:59.587139Z,60.70
2026-09-10T15:00:00,17.30,api.open-meteo.com,2026-09-07T23:17:59.587139Z,61.70
