valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T23:00:00,17.70,api.open-meteo.com,2026-09-07T20:25:14.894705Z,0.57
2026-09-08T00:00:00,17.40,api.open-meteo.com,2026-09-07T20:25:14.894705Z,1.57
2026-09-08T01:00:00,17.20,api.open-meteo.com,2026-09-07T20:25:14.894705Z,2.57
2026-09-08T02:00:00,16.80,api.open-meteo.com,2026-09-07T20:25:14.894705Z,3.57
2026-09-08T03:00:00,16.0,api.open-meteo.com,2026-09-07T20:25:14.894705Z,4.57
2026-09-08T04:00:00,15.70,api.open-meteo.com,2026-09-07T20:25:14.894705Z,5.57
2026-09-08T05:00:00,15.20,api.open-meteo.com,2026-09-07T20:25:14.894705Z,6.57
2026-09-08T06:00:00,14.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,7.57
2026-09-08T07:00:00,15.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,8.57
2026-09-08T08:00:00,16.50,api.open-meteo.com,2026-09-07T20:25:14.894705Z,9.57
2026-09-08T09:00:00,18.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,10.57
2026-09-08T10:00:00,20.40,api.open-meteo.com,2026-09-07T20:25:14.894705Z,11.57
2026-09-08T11:00:00,22.50,api.open-meteo.com,2026-09-07T20:25:14.894705Z,12.57
2026-09-08T12:00:00,24.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,13.57
2026-09-08T13:00:00,25.90,api.open-meteo.com,2026-09-07T20:25:14.894705Z,14.57
2026-09-08T14:00:00,27.0,api.open-meteo.com,2026-09-07T20:25:14.894705Z,15.57
2026-09-08T15:00:00,27.40,api.open-meteo.com,2026-09-07T20:25:14.894705Z,16.57
2026-09-08T16:00:00,27.70,api.open-meteo.com,2026-09-07T20:25:14.894705Z,17.57
2026-09-08T17:00:00,27.60,api.open-meteo.com,2026-09-07T20:25:14.894705Z,18.57
2026-09-08T18:00:00,27.0,api.open-meteo.com,2026-09-07T20:25:14.894705Z,19.57
2026-09-08T19:00:00,25.80,api.open-meteo.com,2026-09-07T20:25:14.894705Z,20.57
2026-09-08T20:00:00,24.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,21.57
2026-09-08T21:00:00,23.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,22.57
2026-09-08T22:00:00,22.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,23.57
2026-09-08T23:00:00,21.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,24.57
2026-09-09T00:00:00,20.80,api.open-meteo.com,2026-09-07T20:25:14.894705Z,25.57
2026-09-09T01:00:00,20.40,api.open-meteo.com,2026-09-07T20:25:14.894705Z,26.57
2026-09-09T02:00:00,20.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,27.57
2026-09-09T03:00:00,19.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,28.57
2026-09-09T04:00:00,19.0,api.open-meteo.com,2026-09-07T20:25:14.894705Z,29.57
2026-09-09T05:00:00,19.0,api.open-meteo.com,2026-09-07T20:25:14.894705Z,30.57
2026-09-09T06:00:00,19.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,31.57
2026-09-09T07:00:00,19.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,32.57
2026-09-09T08:00:00,20.40,api.open-meteo.com,2026-09-07T20:25:14.894705Z,33.57
2026-09-09T09:00:00,22.80,api.open-meteo.com,2026-09-07T20:25:14.894705Z,34.57
2026-09-09T10:00:00,25.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,35.57
2026-09-09T11:00:00,26.90,api.open-meteo.com,2026-09-07T20:25:14.894705Z,36.57
2026-09-09T12:00:00,28.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,37.57
2026-09-09T13:00:00,28.60,api.open-meteo.com,2026-09-07T20:25:14.894705Z,38.57
2026-09-09T14:00:00,28.40,api.open-meteo.com,2026-09-07T20:25:14.894705Z,39.57
2026-09-09T15:00:00,28.20,api.open-meteo.com,2026-09-07T20:25:14.894705Z,40.57
2026-09-09T16:00:00,28.60,api.open-meteo.com,2026-09-07T20:25:14.894705Z,41.57
2026-09-09T17:00:00,28.40,api.open-meteo.com,2026-09-07T20:25:14.894705Z,42.57
2026-09-09T18:00:00,27.40,api.open-meteo.com,2026-09-07T20:25:14.894705Z,43.57
2026-09-09T19:00:00,26.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,44.57
2026-09-09T20:00:00,24.70,api.open-meteo.com,2026-09-07T20:25:14.894705Z,45.57
2026-09-09T21:00:00,23.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,46.57
2026-09-09T22:00:00,20.60,api.open-meteo.com,2026-09-07T20:25:14.894705Z,47.57
2026-09-09T23:00:00,18.80,api.open-meteo.com,2026-09-07T20:25:14.894705Z,48.57
2026-09-10T00:00:00,18.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,49.57
2026-09-10T01:00:00,17.60,api.open-meteo.com,2026-09-07T20:25:14.894705Z,50.57
2026-09-10T02:00:00,17.50,api.open-meteo.com,2026-09-07T20:25:14.894705Z,51.57
2026-09-10T03:00:00,17.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,52.57
2026-09-10T04:00:00,17.0,api.open-meteo.com,2026-09-07T20:25:14.894705Z,53.57
2026-09-10T05:00:00,16.60,api.open-meteo.com,2026-09-07T20:25:14.894705Z,54.57
2026-09-10T06:00:00,16.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,55.57
2026-09-10T07:00:00,15.90,api.open-meteo.com,2026-09-07T20:25:14.894705Z,56.57
2026-09-10T08:00:00,15.90,api.open-meteo.com,2026-09-07T20:25:14.894705Z,57.57
2026-09-10T09:00:00,16.50,api.open-meteo.com,2026-09-07T20:25:14.894705Z,58.57
2026-09-10T10:00:00,17.50,api.open-meteo.com,2026-09-07T20:25:14.894705Z,59.57
2026-09-10T11:00:00,18.40,api.open-meteo.com,2026-09-07T20:25:14.894705Z,60.57
2026-09-10T12:00:00,19.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,61.57
2026-09-10T13:00:00,19.0,api.open-meteo.com,2026-09-07T20:25:14.894705Z,62.57
2026-09-10T14:00:00,18.70,api.open-meteo.com,2026-09-07T20:25:14.894705Z,63.57
2026-09-10T15:00:00,18.60,api.open-meteo.com,2026-09-07T20:25:14.894705Z,64.57
2026-09-10T16:00:00,18.90,api.open-meteo.com,2026-09-07T20:25:14.894705Z,65.57
2026-09-10T17:00:00,18.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,66.57
2026-09-10T18:00:00,17.50,api.open-meteo.com,2026-09-07T20:25:14.894705Z,67.57
2026-09-10T19:00:00,16.20,api.open-meteo.com,2026-09-07T20:25:14.894705Z,68.57
2026-09-10T20:00:00,15.10,api.open-meteo.com,2026-09-07T20:25:14.894705Z,69.57
2026-09-10T21:00:00,14.30,api.open-meteo.com,2026-09-07T20:25:14.894705Z,70.57
2026-09-10T22:00:00,13.60,api.open-meteo.com,2026-09-07T20:25:14.894705Z,71.57
