valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T14:00:00,32.60,api.open-meteo.com,2026-09-08T11:37:56.980627Z,0.37
2026-09-08T15:00:00,29.90,api.open-meteo.com,2026-09-08T11:37:56.980627Z,1.37
2026-09-08T16:00:00,25.90,api.open-meteo.com,2026-09-08T11:37:56.980627Z,2.37
2026-09-08T17:00:00,23.30,api.open-meteo.com,2026-09-08T11:37:56.980627Z,3.37
2026-09-08T18:00:00,20.90,api.open-meteo.com,2026-09-08T11:37:56.980627Z,4.37
2026-09-08T19:00:00,19.40,api.open-meteo.com,2026-09-08T11:37:56.980627Z,5.37
2026-09-08T20:00:00,18.70,api.open-meteo.com,2026-09-08T11:37:56.980627Z,6.37
2026-09-08T21:00:00,18.10,api.open-meteo.com,2026-09-08T11:37:56.980627Z,7.37
2026-09-08T22:00:00,17.60,api.open-meteo.com,2026-09-08T11:37:56.980627Z,8.37
2026-09-08T23:00:00,17.50,api.open-meteo.com,2026-09-08T11:37:56.980627Z,9.37
2026-09-09T00:00:00,17.40,api.open-meteo.com,2026-09-08T11:37:56.980627Z,10.37
2026-09-09T01:00:00,16.90,api.open-meteo.com,2026-09-08T11:37:56.980627Z,11.37
2026-09-09T02:00:00,16.10,api.open-meteo.com,2026-09-08T11:37:56.980627Z,12.37
2026-09-09T03:00:00,15.80,api.open-meteo.com,2026-09-08T11:37:56.980627Z,13.37
2026-09-09T04:00:00,15.60,api.open-meteo.com,2026-09-08T11:37:56.980627Z,14.37
2026-09-09T05:00:00,15.10,api.open-meteo.com,2026-09-08T11:37:56.980627Z,15.37
2026-09-09T06:00:00,14.20,api.open-meteo.com,2026-09-08T11:37:56.980627Z,16.37
2026-09-09T07:00:00,14.10,api.open-meteo.com,2026-09-08T11:37:56.980627Z,17.37
2026-09-09T08:00:00,14.90,api.open-meteo.com,2026-09-08T11:37:56.980627Z,18.37
2026-09-09T09:00:00,17.80,api.open-meteo.com,2026-09-08T11:37:56.980627Z,19.37
2026-09-09T10:00:00,21.0,api.open-meteo.com,2026-09-08T11:37:56.980627Z,20.37
2026-09-09T11:00:00,24.20,api.open-meteo.com,2026-09-08T11:37:56.980627Z,21.37
2026-09-09T12:00:00,24.60,api.open-meteo.com,2026-09-08T11:37:56.980627Z,22.37
2026-09-09T13:00:00,23.80,api.open-meteo.com,2026-09-08T11:37:56.980627Z,23.37
2026-09-09T14:00:00,24.60,api.open-meteo.com,2026-09-08T11:37:56.980627Z,24.37
2026-09-09T15:00:00,23.0,api.open-meteo.com,2026-09-08T11:37:56.980627Z,25.37
2026-09-09T16:00:00,20.70,api.open-meteo.com,2026-09-08T11:37:56.980627Z,26.37
2026-09-09T17:00:00,19.0,api.open-meteo.com,2026-09-08T11:37:56.980627Z,27.37
2026-09-09T18:00:00,17.30,api.open-meteo.com,2026-09-08T11:37:56.980627Z,28.37
2026-09-09T19:00:00,16.10,api.open-meteo.com,2026-09-08T11:37:56.980627Z,29.37
2026-09-09T20:00:00,15.30,api.open-meteo.com,2026-09-08T11:37:56.980627Z,30.37
2026-09-09T21:00:00,14.90,api.open-meteo.com,2026-09-08T11:37:56.980627Z,31.37
2026-09-09T22:00:00,14.70,api.open-meteo.com,2026-09-08T11:37:56.980627Z,32.37
2026-09-09T23:00:00,14.70,api.open-meteo.com,2026-09-08T11:37:56.980627Z,33.37
2026-09-10T00:00:00,14.50,api.open-meteo.com,2026-09-08T11:37:56.980627Z,34.37
2026-09-10T01:00:00,14.50,api.open-meteo.com,2026-09-08T11:37:56.980627Z,35.37
2026-09-10T02:00:00,14.40,api.open-meteo.com,2026-09-08T11:37:56.980627Z,36.37
2026-09-10T03:00:00,14.30,api.open-meteo.com,2026-09-08T11:37:56.980627Z,37.37
2026-09-10T04:00:00,14.10,api.open-meteo.com,2026-09-08T11:37:56.980627Z,38.37
2026-09-10T05:00:00,13.80,api.open-meteo.com,2026-09-08T11:37:56.980627Z,39.37
2026-09-10T06:00:00,13.80,api.open-meteo.com,2026-09-08T11:37:56.980627Z,40.37
2026-09-10T07:00:00,13.80,api.open-meteo.com,2026-09-08T11:37:56.980627Z,41.37
2026-09-10T08:00:00,14.40,api.open-meteo.com,2026-09-08T11:37:56.980627Z,42.37
