valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T04:00:00,27.20,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,0.87
2026-09-08T05:00:00,26.80,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,1.87
2026-09-08T06:00:00,26.80,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,2.87
2026-09-08T07:00:00,27.20,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,3.87
2026-09-08T08:00:00,27.90,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,4.87
2026-09-08T09:00:00,29.0,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,5.87
2026-09-08T10:00:00,30.10,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,6.87
2026-09-08T11:00:00,31.10,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,7.87
2026-09-08T12:00:00,31.60,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,8.87
2026-09-08T13:00:00,32.50,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,9.87
2026-09-08T14:00:00,33.0,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,10.87
2026-09-08T15:00:00,32.80,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,11.87
2026-09-08T16:00:00,31.90,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,12.87
2026-09-08T17:00:00,31.10,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,13.87
2026-09-08T18:00:00,30.10,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,14.87
2026-09-08T19:00:00,29.50,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,15.87
2026-09-08T20:00:00,29.10,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,16.87
2026-09-08T21:00:00,28.90,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,17.87
2026-09-08T22:00:00,28.70,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,18.87
2026-09-08T23:00:00,28.60,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,19.87
2026-09-09T00:00:00,28.30,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,20.87
2026-09-09T01:00:00,28.10,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,21.87
2026-09-09T02:00:00,27.80,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,22.87
2026-09-09T03:00:00,27.60,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,23.87
2026-09-09T04:00:00,27.40,maps.weather.gov.hk/ocf,2026-09-07T19:07:49.192683Z,24.87
