valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T19:00:00,34.44,api.weather.gov,2026-09-07T23:18:00.618482Z,0.68
2026-09-07T20:00:00,31.67,api.weather.gov,2026-09-07T23:18:00.618482Z,1.68
2026-09-07T21:00:00,30.0,api.weather.gov,2026-09-07T23:18:00.618482Z,2.68
2026-09-07T22:00:00,29.44,api.weather.gov,2026-09-07T23:18:00.618482Z,3.68
2026-09-07T23:00:00,28.89,api.weather.gov,2026-09-07T23:18:00.618482Z,4.68
2026-09-08T00:00:00,28.33,api.weather.gov,2026-09-07T23:18:00.618482Z,5.68
2026-09-08T01:00:00,27.78,api.weather.gov,2026-09-07T23:18:00.618482Z,6.68
2026-09-08T02:00:00,26.67,api.weather.gov,2026-09-07T23:18:00.618482Z,7.68
2026-09-08T03:00:00,26.67,api.weather.gov,2026-09-07T23:18:00.618482Z,8.68
2026-09-08T04:00:00,26.11,api.weather.gov,2026-09-07T23:18:00.618482Z,9.68
2026-09-08T05:00:00,25.56,api.weather.gov,2026-09-07T23:18:00.618482Z,10.68
2026-09-08T06:00:00,25.56,api.weather.gov,2026-09-07T23:18:00.618482Z,11.68
2026-09-08T07:00:00,25.0,api.weather.gov,2026-09-07T23:18:00.618482Z,12.68
2026-09-08T08:00:00,25.56,api.weather.gov,2026-09-07T23:18:00.618482Z,13.68
2026-09-08T09:00:00,27.22,api.weather.gov,2026-09-07T23:18:00.618482Z,14.68
2026-09-08T10:00:00,30.0,api.weather.gov,2026-09-07T23:18:00.618482Z,15.68
2026-09-08T11:00:00,31.67,api.weather.gov,2026-09-07T23:18:00.618482Z,16.68
2026-09-08T12:00:00,33.33,api.weather.gov,2026-09-07T23:18:00.618482Z,17.68
2026-09-08T13:00:00,34.44,api.weather.gov,2026-09-07T23:18:00.618482Z,18.68
2026-09-08T14:00:00,36.11,api.weather.gov,2026-09-07T23:18:00.618482Z,19.68
2026-09-08T15:00:00,36.67,api.weather.gov,2026-09-07T23:18:00.618482Z,20.68
2026-09-08T16:00:00,36.67,api.weather.gov,2026-09-07T23:18:00.618482Z,21.68
2026-09-08T17:00:00,37.22,api.weather.gov,2026-09-07T23:18:00.618482Z,22.68
2026-09-08T18:00:00,36.11,api.weather.gov,2026-09-07T23:18:00.618482Z,23.68
2026-09-08T19:00:00,34.44,api.weather.gov,2026-09-07T23:18:00.618482Z,24.68
2026-09-08T20:00:00,32.22,api.weather.gov,2026-09-07T23:18:00.618482Z,25.68
2026-09-08T21:00:00,30.0,api.weather.gov,2026-09-07T23:18:00.618482Z,26.68
2026-09-08T22:00:00,29.44,api.weather.gov,2026-09-07T23:18:00.618482Z,27.68
2026-09-08T23:00:00,28.89,api.weather.gov,2026-09-07T23:18:00.618482Z,28.68
2026-09-09T00:00:00,27.78,api.weather.gov,2026-09-07T23:18:00.618482Z,29.68
2026-09-09T01:00:00,27.22,api.weather.gov,2026-09-07T23:18:00.618482Z,30.68
2026-09-09T02:00:00,26.67,api.weather.gov,2026-09-07T23:18:00.618482Z,31.68
2026-09-09T03:00:00,26.11,api.weather.gov,2026-09-07T23:18:00.618482Z,32.68
2026-09-09T04:00:00,25.56,api.weather.gov,2026-09-07T23:18:00.618482Z,33.68
2026-09-09T05:00:00,25.56,api.weather.gov,2026-09-07T23:18:00.618482Z,34.68
2026-09-09T06:00:00,25.0,api.weather.gov,2026-09-07T23:18:00.618482Z,35.68
