valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T22:00:00,22.22,api.weather.gov,2026-09-08T01:04:45.081460Z,0.92
2026-09-07T23:00:00,21.11,api.weather.gov,2026-09-08T01:04:45.081460Z,1.92
2026-09-08T00:00:00,20.56,api.weather.gov,2026-09-08T01:04:45.081460Z,2.92
2026-09-08T01:00:00,20.0,api.weather.gov,2026-09-08T01:04:45.081460Z,3.92
2026-09-08T02:00:00,20.0,api.weather.gov,2026-09-08T01:04:45.081460Z,4.92
2026-09-08T03:00:00,19.44,api.weather.gov,2026-09-08T01:04:45.081460Z,5.92
2026-09-08T04:00:00,18.89,api.weather.gov,2026-09-08T01:04:45.081460Z,6.92
2026-09-08T05:00:00,18.89,api.weather.gov,2026-09-08T01:04:45.081460Z,7.92
2026-09-08T06:00:00,18.33,api.weather.gov,2026-09-08T01:04:45.081460Z,8.92
2026-09-08T07:00:00,18.33,api.weather.gov,2026-09-08T01:04:45.081460Z,9.92
2026-09-08T08:00:00,19.44,api.weather.gov,2026-09-08T01:04:45.081460Z,10.92
2026-09-08T09:00:00,20.56,api.weather.gov,2026-09-08T01:04:45.081460Z,11.92
2026-09-08T10:00:00,22.78,api.weather.gov,2026-09-08T01:04:45.081460Z,12.92
2026-09-08T11:00:00,24.44,api.weather.gov,2026-09-08T01:04:45.081460Z,13.92
2026-09-08T12:00:00,25.56,api.weather.gov,2026-09-08T01:04:45.081460Z,14.92
2026-09-08T13:00:00,26.67,api.weather.gov,2026-09-08T01:04:45.081460Z,15.92
2026-09-08T14:00:00,27.78,api.weather.gov,2026-09-08T01:04:45.081460Z,16.92
2026-09-08T15:00:00,28.33,api.weather.gov,2026-09-08T01:04:45.081460Z,17.92
2026-09-08T16:00:00,28.33,api.weather.gov,2026-09-08T01:04:45.081460Z,18.92
2026-09-08T17:00:00,28.33,api.weather.gov,2026-09-08T01:04:45.081460Z,19.92
2026-09-08T18:00:00,27.78,api.weather.gov,2026-09-08T01:04:45.081460Z,20.92
2026-09-08T19:00:00,26.67,api.weather.gov,2026-09-08T01:04:45.081460Z,21.92
2026-09-08T20:00:00,25.56,api.weather.gov,2026-09-08T01:04:45.081460Z,22.92
2026-09-08T21:00:00,24.44,api.weather.gov,2026-09-08T01:04:45.081460Z,23.92
2026-09-08T22:00:00,23.89,api.weather.gov,2026-09-08T01:04:45.081460Z,24.92
2026-09-08T23:00:00,22.78,api.weather.gov,2026-09-08T01:04:45.081460Z,25.92
2026-09-09T00:00:00,22.22,api.weather.gov,2026-09-08T01:04:45.081460Z,26.92
2026-09-09T01:00:00,21.67,api.weather.gov,2026-09-08T01:04:45.081460Z,27.92
2026-09-09T02:00:00,21.67,api.weather.gov,2026-09-08T01:04:45.081460Z,28.92
2026-09-09T03:00:00,21.67,api.weather.gov,2026-09-08T01:04:45.081460Z,29.92
2026-09-09T04:00:00,21.11,api.weather.gov,2026-09-08T01:04:45.081460Z,30.92
2026-09-09T05:00:00,20.56,api.weather.gov,2026-09-08T01:04:45.081460Z,31.92
2026-09-09T06:00:00,20.0,api.weather.gov,2026-09-08T01:04:45.081460Z,32.92
2026-09-09T07:00:00,20.0,api.weather.gov,2026-09-08T01:04:45.081460Z,33.92
2026-09-09T08:00:00,21.11,api.weather.gov,2026-09-08T01:04:45.081460Z,34.92
2026-09-09T09:00:00,22.22,api.weather.gov,2026-09-08T01:04:45.081460Z,35.92
