valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T13:00:00,31.67,api.weather.gov,2026-09-07T16:18:16.648766Z,0.68
2026-09-07T14:00:00,31.11,api.weather.gov,2026-09-07T16:18:16.648766Z,1.68
2026-09-07T15:00:00,30.0,api.weather.gov,2026-09-07T16:18:16.648766Z,2.68
2026-09-07T16:00:00,31.11,api.weather.gov,2026-09-07T16:18:16.648766Z,3.68
2026-09-07T17:00:00,29.44,api.weather.gov,2026-09-07T16:18:16.648766Z,4.68
2026-09-07T18:00:00,28.89,api.weather.gov,2026-09-07T16:18:16.648766Z,5.68
2026-09-07T19:00:00,28.33,api.weather.gov,2026-09-07T16:18:16.648766Z,6.68
2026-09-07T20:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,7.68
2026-09-07T21:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,8.68
2026-09-07T22:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,9.68
2026-09-07T23:00:00,26.11,api.weather.gov,2026-09-07T16:18:16.648766Z,10.68
2026-09-08T00:00:00,26.11,api.weather.gov,2026-09-07T16:18:16.648766Z,11.68
2026-09-08T01:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,12.68
2026-09-08T02:00:00,26.11,api.weather.gov,2026-09-07T16:18:16.648766Z,13.68
2026-09-08T03:00:00,26.11,api.weather.gov,2026-09-07T16:18:16.648766Z,14.68
2026-09-08T04:00:00,26.11,api.weather.gov,2026-09-07T16:18:16.648766Z,15.68
2026-09-08T05:00:00,26.11,api.weather.gov,2026-09-07T16:18:16.648766Z,16.68
2026-09-08T06:00:00,26.11,api.weather.gov,2026-09-07T16:18:16.648766Z,17.68
2026-09-08T07:00:00,25.56,api.weather.gov,2026-09-07T16:18:16.648766Z,18.68
2026-09-08T08:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,19.68
2026-09-08T09:00:00,27.22,api.weather.gov,2026-09-07T16:18:16.648766Z,20.68
2026-09-08T10:00:00,28.89,api.weather.gov,2026-09-07T16:18:16.648766Z,21.68
2026-09-08T11:00:00,30.0,api.weather.gov,2026-09-07T16:18:16.648766Z,22.68
2026-09-08T12:00:00,31.11,api.weather.gov,2026-09-07T16:18:16.648766Z,23.68
2026-09-08T13:00:00,30.56,api.weather.gov,2026-09-07T16:18:16.648766Z,24.68
2026-09-08T14:00:00,30.56,api.weather.gov,2026-09-07T16:18:16.648766Z,25.68
2026-09-08T15:00:00,30.0,api.weather.gov,2026-09-07T16:18:16.648766Z,26.68
2026-09-08T16:00:00,31.11,api.weather.gov,2026-09-07T16:18:16.648766Z,27.68
2026-09-08T17:00:00,29.44,api.weather.gov,2026-09-07T16:18:16.648766Z,28.68
2026-09-08T18:00:00,28.89,api.weather.gov,2026-09-07T16:18:16.648766Z,29.68
2026-09-08T19:00:00,28.89,api.weather.gov,2026-09-07T16:18:16.648766Z,30.68
2026-09-08T20:00:00,27.22,api.weather.gov,2026-09-07T16:18:16.648766Z,31.68
2026-09-08T21:00:00,27.22,api.weather.gov,2026-09-07T16:18:16.648766Z,32.68
2026-09-08T22:00:00,27.22,api.weather.gov,2026-09-07T16:18:16.648766Z,33.68
2026-09-08T23:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,34.68
2026-09-09T00:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,35.68
2026-09-09T01:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,36.68
2026-09-09T02:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,37.68
2026-09-09T03:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,38.68
2026-09-09T04:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,39.68
2026-09-09T05:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,40.68
2026-09-09T06:00:00,26.67,api.weather.gov,2026-09-07T16:18:16.648766Z,41.68
2026-09-09T07:00:00,27.22,api.weather.gov,2026-09-07T16:18:16.648766Z,42.68
2026-09-09T08:00:00,27.22,api.weather.gov,2026-09-07T16:18:16.648766Z,43.68
2026-09-09T09:00:00,28.33,api.weather.gov,2026-09-07T16:18:16.648766Z,44.68
2026-09-09T10:00:00,29.44,api.weather.gov,2026-09-07T16:18:16.648766Z,45.68
2026-09-09T11:00:00,30.56,api.weather.gov,2026-09-07T16:18:16.648766Z,46.68
2026-09-09T12:00:00,31.11,api.weather.gov,2026-09-07T16:18:16.648766Z,47.68
2026-09-09T13:00:00,31.11,api.weather.gov,2026-09-07T16:18:16.648766Z,48.68
