valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T02:00:00,26.0,api.open-meteo.com,2026-09-07T23:18:00.831511Z,0.68
2026-09-08T03:00:00,25.20,api.open-meteo.com,2026-09-07T23:18:00.831511Z,1.68
2026-09-08T04:00:00,24.20,api.open-meteo.com,2026-09-07T23:18:00.831511Z,2.68
2026-09-08T05:00:00,23.20,api.open-meteo.com,2026-09-07T23:18:00.831511Z,3.68
2026-09-08T06:00:00,23.10,api.open-meteo.com,2026-09-07T23:18:00.831511Z,4.68
2026-09-08T07:00:00,22.80,api.open-meteo.com,2026-09-07T23:18:00.831511Z,5.68
2026-09-08T08:00:00,22.70,api.open-meteo.com,2026-09-07T23:18:00.831511Z,6.68
2026-09-08T09:00:00,23.0,api.open-meteo.com,2026-09-07T23:18:00.831511Z,7.68
2026-09-08T10:00:00,25.30,api.open-meteo.com,2026-09-07T23:18:00.831511Z,8.68
2026-09-08T11:00:00,28.10,api.open-meteo.com,2026-09-07T23:18:00.831511Z,9.68
2026-09-08T12:00:00,30.50,api.open-meteo.com,2026-09-07T23:18:00.831511Z,10.68
2026-09-08T13:00:00,32.90,api.open-meteo.com,2026-09-07T23:18:00.831511Z,11.68
2026-09-08T14:00:00,34.40,api.open-meteo.com,2026-09-07T23:18:00.831511Z,12.68
2026-09-08T15:00:00,35.10,api.open-meteo.com,2026-09-07T23:18:00.831511Z,13.68
2026-09-08T16:00:00,35.10,api.open-meteo.com,2026-09-07T23:18:00.831511Z,14.68
2026-09-08T17:00:00,34.90,api.open-meteo.com,2026-09-07T23:18:00.831511Z,15.68
2026-09-08T18:00:00,34.50,api.open-meteo.com,2026-09-07T23:18:00.831511Z,16.68
2026-09-08T19:00:00,33.30,api.open-meteo.com,2026-09-07T23:18:00.831511Z,17.68
2026-09-08T20:00:00,32.20,api.open-meteo.com,2026-09-07T23:18:00.831511Z,18.68
2026-09-08T21:00:00,30.10,api.open-meteo.com,2026-09-07T23:18:00.831511Z,19.68
2026-09-08T22:00:00,28.40,api.open-meteo.com,2026-09-07T23:18:00.831511Z,20.68
2026-09-08T23:00:00,26.80,api.open-meteo.com,2026-09-07T23:18:00.831511Z,21.68
2026-09-09T00:00:00,25.80,api.open-meteo.com,2026-09-07T23:18:00.831511Z,22.68
2026-09-09T01:00:00,24.50,api.open-meteo.com,2026-09-07T23:18:00.831511Z,23.68
2026-09-09T02:00:00,23.30,api.open-meteo.com,2026-09-07T23:18:00.831511Z,24.68
2026-09-09T03:00:00,22.70,api.open-meteo.com,2026-09-07T23:18:00.831511Z,25.68
2026-09-09T04:00:00,22.60,api.open-meteo.com,2026-09-07T23:18:00.831511Z,26.68
2026-09-09T05:00:00,22.10,api.open-meteo.com,2026-09-07T23:18:00.831511Z,27.68
2026-09-09T06:00:00,21.50,api.open-meteo.com,2026-09-07T23:18:00.831511Z,28.68
2026-09-09T07:00:00,21.0,api.open-meteo.com,2026-09-07T23:18:00.831511Z,29.68
2026-09-09T08:00:00,20.40,api.open-meteo.com,2026-09-07T23:18:00.831511Z,30.68
2026-09-09T09:00:00,20.60,api.open-meteo.com,2026-09-07T23:18:00.831511Z,31.68
2026-09-09T10:00:00,20.70,api.open-meteo.com,2026-09-07T23:18:00.831511Z,32.68
2026-09-09T11:00:00,20.90,api.open-meteo.com,2026-09-07T23:18:00.831511Z,33.68
2026-09-09T12:00:00,21.90,api.open-meteo.com,2026-09-07T23:18:00.831511Z,34.68
2026-09-09T13:00:00,23.20,api.open-meteo.com,2026-09-07T23:18:00.831511Z,35.68
2026-09-09T14:00:00,24.20,api.open-meteo.com,2026-09-07T23:18:00.831511Z,36.68
2026-09-09T15:00:00,25.20,api.open-meteo.com,2026-09-07T23:18:00.831511Z,37.68
2026-09-09T16:00:00,25.80,api.open-meteo.com,2026-09-07T23:18:00.831511Z,38.68
2026-09-09T17:00:00,25.90,api.open-meteo.com,2026-09-07T23:18:00.831511Z,39.68
2026-09-09T18:00:00,25.80,api.open-meteo.com,2026-09-07T23:18:00.831511Z,40.68
2026-09-09T19:00:00,25.10,api.open-meteo.com,2026-09-07T23:18:00.831511Z,41.68
2026-09-09T20:00:00,23.90,api.open-meteo.com,2026-09-07T23:18:00.831511Z,42.68
2026-09-09T21:00:00,22.50,api.open-meteo.com,2026-09-07T23:18:00.831511Z,43.68
2026-09-09T22:00:00,20.60,api.open-meteo.com,2026-09-07T23:18:00.831511Z,44.68
2026-09-09T23:00:00,19.10,api.open-meteo.com,2026-09-07T23:18:00.831511Z,45.68
2026-09-10T00:00:00,17.70,api.open-meteo.com,2026-09-07T23:18:00.831511Z,46.68
2026-09-10T01:00:00,16.50,api.open-meteo.com,2026-09-07T23:18:00.831511Z,47.68
2026-09-10T02:00:00,15.40,api.open-meteo.com,2026-09-07T23:18:00.831511Z,48.68
2026-09-10T03:00:00,14.60,api.open-meteo.com,2026-09-07T23:18:00.831511Z,49.68
2026-09-10T04:00:00,14.0,api.open-meteo.com,2026-09-07T23:18:00.831511Z,50.68
2026-09-10T05:00:00,13.60,api.open-meteo.com,2026-09-07T23:18:00.831511Z,51.68
2026-09-10T06:00:00,13.20,api.open-meteo.com,2026-09-07T23:18:00.831511Z,52.68
2026-09-10T07:00:00,12.90,api.open-meteo.com,2026-09-07T23:18:00.831511Z,53.68
2026-09-10T08:00:00,12.50,api.open-meteo.com,2026-09-07T23:18:00.831511Z,54.68
2026-09-10T09:00:00,13.0,api.open-meteo.com,2026-09-07T23:18:00.831511Z,55.68
2026-09-10T10:00:00,14.60,api.open-meteo.com,2026-09-07T23:18:00.831511Z,56.68
2026-09-10T11:00:00,16.70,api.open-meteo.com,2026-09-07T23:18:00.831511Z,57.68
2026-09-10T12:00:00,18.90,api.open-meteo.com,2026-09-07T23:18:00.831511Z,58.68
2026-09-10T13:00:00,21.0,api.open-meteo.com,2026-09-07T23:18:00.831511Z,59.68
