valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T22:00:00,27.70,api.open-meteo.com,2026-09-07T18:36:43.055449Z,0.38
2026-09-07T23:00:00,27.0,api.open-meteo.com,2026-09-07T18:36:43.055449Z,1.38
2026-09-08T00:00:00,26.50,api.open-meteo.com,2026-09-07T18:36:43.055449Z,2.38
2026-09-08T01:00:00,26.0,api.open-meteo.com,2026-09-07T18:36:43.055449Z,3.38
2026-09-08T02:00:00,25.50,api.open-meteo.com,2026-09-07T18:36:43.055449Z,4.38
2026-09-08T03:00:00,25.20,api.open-meteo.com,2026-09-07T18:36:43.055449Z,5.38
2026-09-08T04:00:00,25.0,api.open-meteo.com,2026-09-07T18:36:43.055449Z,6.38
2026-09-08T05:00:00,24.80,api.open-meteo.com,2026-09-07T18:36:43.055449Z,7.38
2026-09-08T06:00:00,24.60,api.open-meteo.com,2026-09-07T18:36:43.055449Z,8.38
2026-09-08T07:00:00,24.70,api.open-meteo.com,2026-09-07T18:36:43.055449Z,9.38
2026-09-08T08:00:00,26.0,api.open-meteo.com,2026-09-07T18:36:43.055449Z,10.38
2026-09-08T09:00:00,27.90,api.open-meteo.com,2026-09-07T18:36:43.055449Z,11.38
2026-09-08T10:00:00,29.60,api.open-meteo.com,2026-09-07T18:36:43.055449Z,12.38
2026-09-08T11:00:00,31.60,api.open-meteo.com,2026-09-07T18:36:43.055449Z,13.38
2026-09-08T12:00:00,33.30,api.open-meteo.com,2026-09-07T18:36:43.055449Z,14.38
2026-09-08T13:00:00,33.60,api.open-meteo.com,2026-09-07T18:36:43.055449Z,15.38
2026-09-08T14:00:00,33.30,api.open-meteo.com,2026-09-07T18:36:43.055449Z,16.38
2026-09-08T15:00:00,32.90,api.open-meteo.com,2026-09-07T18:36:43.055449Z,17.38
2026-09-08T16:00:00,32.10,api.open-meteo.com,2026-09-07T18:36:43.055449Z,18.38
2026-09-08T17:00:00,30.90,api.open-meteo.com,2026-09-07T18:36:43.055449Z,19.38
2026-09-08T18:00:00,29.40,api.open-meteo.com,2026-09-07T18:36:43.055449Z,20.38
2026-09-08T19:00:00,28.20,api.open-meteo.com,2026-09-07T18:36:43.055449Z,21.38
