valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T23:00:00,20.10,api.open-meteo.com,2026-09-07T19:07:50.020671Z,0.87
2026-09-08T00:00:00,19.70,api.open-meteo.com,2026-09-07T19:07:50.020671Z,1.87
2026-09-08T01:00:00,19.30,api.open-meteo.com,2026-09-07T19:07:50.020671Z,2.87
2026-09-08T02:00:00,19.30,api.open-meteo.com,2026-09-07T19:07:50.020671Z,3.87
2026-09-08T03:00:00,19.20,api.open-meteo.com,2026-09-07T19:07:50.020671Z,4.87
2026-09-08T04:00:00,19.10,api.open-meteo.com,2026-09-07T19:07:50.020671Z,5.87
2026-09-08T05:00:00,19.0,api.open-meteo.com,2026-09-07T19:07:50.020671Z,6.87
2026-09-08T06:00:00,19.10,api.open-meteo.com,2026-09-07T19:07:50.020671Z,7.87
2026-09-08T07:00:00,19.30,api.open-meteo.com,2026-09-07T19:07:50.020671Z,8.87
2026-09-08T08:00:00,20.10,api.open-meteo.com,2026-09-07T19:07:50.020671Z,9.87
2026-09-08T09:00:00,21.50,api.open-meteo.com,2026-09-07T19:07:50.020671Z,10.87
2026-09-08T10:00:00,22.50,api.open-meteo.com,2026-09-07T19:07:50.020671Z,11.87
2026-09-08T11:00:00,23.10,api.open-meteo.com,2026-09-07T19:07:50.020671Z,12.87
2026-09-08T12:00:00,23.70,api.open-meteo.com,2026-09-07T19:07:50.020671Z,13.87
2026-09-08T13:00:00,24.30,api.open-meteo.com,2026-09-07T19:07:50.020671Z,14.87
2026-09-08T14:00:00,24.40,api.open-meteo.com,2026-09-07T19:07:50.020671Z,15.87
2026-09-08T15:00:00,24.0,api.open-meteo.com,2026-09-07T19:07:50.020671Z,16.87
2026-09-08T16:00:00,23.60,api.open-meteo.com,2026-09-07T19:07:50.020671Z,17.87
2026-09-08T17:00:00,23.20,api.open-meteo.com,2026-09-07T19:07:50.020671Z,18.87
2026-09-08T18:00:00,22.50,api.open-meteo.com,2026-09-07T19:07:50.020671Z,19.87
2026-09-08T19:00:00,21.50,api.open-meteo.com,2026-09-07T19:07:50.020671Z,20.87
2026-09-08T20:00:00,20.80,api.open-meteo.com,2026-09-07T19:07:50.020671Z,21.87
2026-09-08T21:00:00,20.70,api.open-meteo.com,2026-09-07T19:07:50.020671Z,22.87
2026-09-08T22:00:00,20.60,api.open-meteo.com,2026-09-07T19:07:50.020671Z,23.87
2026-09-08T23:00:00,20.30,api.open-meteo.com,2026-09-07T19:07:50.020671Z,24.87
2026-09-09T00:00:00,20.40,api.open-meteo.com,2026-09-07T19:07:50.020671Z,25.87
2026-09-09T01:00:00,20.20,api.open-meteo.com,2026-09-07T19:07:50.020671Z,26.87
2026-09-09T02:00:00,20.0,api.open-meteo.com,2026-09-07T19:07:50.020671Z,27.87
