valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T14:00:00,17.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,0.87
2026-09-07T15:00:00,18.50,api.open-meteo.com,2026-09-07T19:07:50.033106Z,1.87
2026-09-07T16:00:00,19.80,api.open-meteo.com,2026-09-07T19:07:50.033106Z,2.87
2026-09-07T17:00:00,19.0,api.open-meteo.com,2026-09-07T19:07:50.033106Z,3.87
2026-09-07T18:00:00,18.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,4.87
2026-09-07T19:00:00,16.70,api.open-meteo.com,2026-09-07T19:07:50.033106Z,5.87
2026-09-07T20:00:00,14.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,6.87
2026-09-07T21:00:00,15.0,api.open-meteo.com,2026-09-07T19:07:50.033106Z,7.87
2026-09-07T22:00:00,14.80,api.open-meteo.com,2026-09-07T19:07:50.033106Z,8.87
2026-09-07T23:00:00,14.70,api.open-meteo.com,2026-09-07T19:07:50.033106Z,9.87
2026-09-08T00:00:00,14.40,api.open-meteo.com,2026-09-07T19:07:50.033106Z,10.87
2026-09-08T01:00:00,14.20,api.open-meteo.com,2026-09-07T19:07:50.033106Z,11.87
2026-09-08T02:00:00,13.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,12.87
2026-09-08T03:00:00,14.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,13.87
2026-09-08T04:00:00,14.10,api.open-meteo.com,2026-09-07T19:07:50.033106Z,14.87
2026-09-08T05:00:00,13.70,api.open-meteo.com,2026-09-07T19:07:50.033106Z,15.87
2026-09-08T06:00:00,13.40,api.open-meteo.com,2026-09-07T19:07:50.033106Z,16.87
2026-09-08T07:00:00,13.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,17.87
2026-09-08T08:00:00,14.80,api.open-meteo.com,2026-09-07T19:07:50.033106Z,18.87
2026-09-08T09:00:00,16.70,api.open-meteo.com,2026-09-07T19:07:50.033106Z,19.87
2026-09-08T10:00:00,18.60,api.open-meteo.com,2026-09-07T19:07:50.033106Z,20.87
2026-09-08T11:00:00,20.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,21.87
2026-09-08T12:00:00,21.0,api.open-meteo.com,2026-09-07T19:07:50.033106Z,22.87
2026-09-08T13:00:00,21.80,api.open-meteo.com,2026-09-07T19:07:50.033106Z,23.87
2026-09-08T14:00:00,22.60,api.open-meteo.com,2026-09-07T19:07:50.033106Z,24.87
2026-09-08T15:00:00,23.20,api.open-meteo.com,2026-09-07T19:07:50.033106Z,25.87
2026-09-08T16:00:00,22.60,api.open-meteo.com,2026-09-07T19:07:50.033106Z,26.87
2026-09-08T17:00:00,21.50,api.open-meteo.com,2026-09-07T19:07:50.033106Z,27.87
2026-09-08T18:00:00,15.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,28.87
2026-09-08T19:00:00,15.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,29.87
2026-09-08T20:00:00,15.0,api.open-meteo.com,2026-09-07T19:07:50.033106Z,30.87
2026-09-08T21:00:00,15.40,api.open-meteo.com,2026-09-07T19:07:50.033106Z,31.87
2026-09-08T22:00:00,15.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,32.87
2026-09-08T23:00:00,15.0,api.open-meteo.com,2026-09-07T19:07:50.033106Z,33.87
2026-09-09T00:00:00,14.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,34.87
2026-09-09T01:00:00,14.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,35.87
2026-09-09T02:00:00,13.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,36.87
2026-09-09T03:00:00,13.60,api.open-meteo.com,2026-09-07T19:07:50.033106Z,37.87
2026-09-09T04:00:00,13.40,api.open-meteo.com,2026-09-07T19:07:50.033106Z,38.87
2026-09-09T05:00:00,13.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,39.87
2026-09-09T06:00:00,13.20,api.open-meteo.com,2026-09-07T19:07:50.033106Z,40.87
2026-09-09T07:00:00,13.10,api.open-meteo.com,2026-09-07T19:07:50.033106Z,41.87
2026-09-09T08:00:00,14.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,42.87
2026-09-09T09:00:00,16.20,api.open-meteo.com,2026-09-07T19:07:50.033106Z,43.87
2026-09-09T10:00:00,18.10,api.open-meteo.com,2026-09-07T19:07:50.033106Z,44.87
2026-09-09T11:00:00,19.20,api.open-meteo.com,2026-09-07T19:07:50.033106Z,45.87
2026-09-09T12:00:00,21.0,api.open-meteo.com,2026-09-07T19:07:50.033106Z,46.87
2026-09-09T13:00:00,22.0,api.open-meteo.com,2026-09-07T19:07:50.033106Z,47.87
2026-09-09T14:00:00,21.50,api.open-meteo.com,2026-09-07T19:07:50.033106Z,48.87
2026-09-09T15:00:00,19.10,api.open-meteo.com,2026-09-07T19:07:50.033106Z,49.87
2026-09-09T16:00:00,18.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,50.87
2026-09-09T17:00:00,16.80,api.open-meteo.com,2026-09-07T19:07:50.033106Z,51.87
2026-09-09T18:00:00,16.20,api.open-meteo.com,2026-09-07T19:07:50.033106Z,52.87
2026-09-09T19:00:00,15.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,53.87
2026-09-09T20:00:00,15.80,api.open-meteo.com,2026-09-07T19:07:50.033106Z,54.87
2026-09-09T21:00:00,15.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,55.87
2026-09-09T22:00:00,15.70,api.open-meteo.com,2026-09-07T19:07:50.033106Z,56.87
2026-09-09T23:00:00,15.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,57.87
2026-09-10T00:00:00,15.0,api.open-meteo.com,2026-09-07T19:07:50.033106Z,58.87
2026-09-10T01:00:00,14.90,api.open-meteo.com,2026-09-07T19:07:50.033106Z,59.87
2026-09-10T02:00:00,14.30,api.open-meteo.com,2026-09-07T19:07:50.033106Z,60.87
2026-09-10T03:00:00,13.80,api.open-meteo.com,2026-09-07T19:07:50.033106Z,61.87
2026-09-10T04:00:00,13.40,api.open-meteo.com,2026-09-07T19:07:50.033106Z,62.87
2026-09-10T05:00:00,13.10,api.open-meteo.com,2026-09-07T19:07:50.033106Z,63.87
2026-09-10T06:00:00,12.80,api.open-meteo.com,2026-09-07T19:07:50.033106Z,64.87
2026-09-10T07:00:00,13.10,api.open-meteo.com,2026-09-07T19:07:50.033106Z,65.87
2026-09-10T08:00:00,14.60,api.open-meteo.com,2026-09-07T19:07:50.033106Z,66.87
2026-09-10T09:00:00,16.40,api.open-meteo.com,2026-09-07T19:07:50.033106Z,67.87
2026-09-10T10:00:00,18.20,api.open-meteo.com,2026-09-07T19:07:50.033106Z,68.87
