valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T12:00:00,28.60,api.open-meteo.com,2026-09-07T16:57:36.808182Z,0.03
2026-09-07T13:00:00,28.30,api.open-meteo.com,2026-09-07T16:57:36.808182Z,1.03
2026-09-07T14:00:00,28.10,api.open-meteo.com,2026-09-07T16:57:36.808182Z,2.03
2026-09-07T15:00:00,27.70,api.open-meteo.com,2026-09-07T16:57:36.808182Z,3.03
2026-09-07T16:00:00,27.20,api.open-meteo.com,2026-09-07T16:57:36.808182Z,4.03
2026-09-07T17:00:00,26.60,api.open-meteo.com,2026-09-07T16:57:36.808182Z,5.03
2026-09-07T18:00:00,25.80,api.open-meteo.com,2026-09-07T16:57:36.808182Z,6.03
2026-09-07T19:00:00,25.50,api.open-meteo.com,2026-09-07T16:57:36.808182Z,7.03
2026-09-07T20:00:00,25.50,api.open-meteo.com,2026-09-07T16:57:36.808182Z,8.03
2026-09-07T21:00:00,25.40,api.open-meteo.com,2026-09-07T16:57:36.808182Z,9.03
2026-09-07T22:00:00,25.30,api.open-meteo.com,2026-09-07T16:57:36.808182Z,10.03
2026-09-07T23:00:00,25.30,api.open-meteo.com,2026-09-07T16:57:36.808182Z,11.03
2026-09-08T00:00:00,25.20,api.open-meteo.com,2026-09-07T16:57:36.808182Z,12.03
2026-09-08T01:00:00,25.10,api.open-meteo.com,2026-09-07T16:57:36.808182Z,13.03
2026-09-08T02:00:00,25.20,api.open-meteo.com,2026-09-07T16:57:36.808182Z,14.03
2026-09-08T03:00:00,25.10,api.open-meteo.com,2026-09-07T16:57:36.808182Z,15.03
2026-09-08T04:00:00,25.0,api.open-meteo.com,2026-09-07T16:57:36.808182Z,16.03
2026-09-08T05:00:00,24.90,api.open-meteo.com,2026-09-07T16:57:36.808182Z,17.03
2026-09-08T06:00:00,25.10,api.open-meteo.com,2026-09-07T16:57:36.808182Z,18.03
2026-09-08T07:00:00,25.70,api.open-meteo.com,2026-09-07T16:57:36.808182Z,19.03
2026-09-08T08:00:00,27.30,api.open-meteo.com,2026-09-07T16:57:36.808182Z,20.03
2026-09-08T09:00:00,28.90,api.open-meteo.com,2026-09-07T16:57:36.808182Z,21.03
2026-09-08T10:00:00,29.90,api.open-meteo.com,2026-09-07T16:57:36.808182Z,22.03
2026-09-08T11:00:00,30.0,api.open-meteo.com,2026-09-07T16:57:36.808182Z,23.03
2026-09-08T12:00:00,31.40,api.open-meteo.com,2026-09-07T16:57:36.808182Z,24.03
2026-09-08T13:00:00,32.80,api.open-meteo.com,2026-09-07T16:57:36.808182Z,25.03
2026-09-08T14:00:00,32.90,api.open-meteo.com,2026-09-07T16:57:36.808182Z,26.03
2026-09-08T15:00:00,31.20,api.open-meteo.com,2026-09-07T16:57:36.808182Z,27.03
2026-09-08T16:00:00,30.0,api.open-meteo.com,2026-09-07T16:57:36.808182Z,28.03
2026-09-08T17:00:00,29.10,api.open-meteo.com,2026-09-07T16:57:36.808182Z,29.03
2026-09-08T18:00:00,28.10,api.open-meteo.com,2026-09-07T16:57:36.808182Z,30.03
2026-09-08T19:00:00,27.20,api.open-meteo.com,2026-09-07T16:57:36.808182Z,31.03
2026-09-08T20:00:00,26.80,api.open-meteo.com,2026-09-07T16:57:36.808182Z,32.03
2026-09-08T21:00:00,26.70,api.open-meteo.com,2026-09-07T16:57:36.808182Z,33.03
