valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T03:00:00,27.90,api.open-meteo.com,2026-09-07T23:18:01.663164Z,0.68
2026-09-08T04:00:00,27.40,api.open-meteo.com,2026-09-07T23:18:01.663164Z,1.68
2026-09-08T05:00:00,27.90,api.open-meteo.com,2026-09-07T23:18:01.663164Z,2.68
2026-09-08T06:00:00,27.40,api.open-meteo.com,2026-09-07T23:18:01.663164Z,3.68
2026-09-08T07:00:00,28.30,api.open-meteo.com,2026-09-07T23:18:01.663164Z,4.68
2026-09-08T08:00:00,30.50,api.open-meteo.com,2026-09-07T23:18:01.663164Z,5.68
2026-09-08T09:00:00,33.0,api.open-meteo.com,2026-09-07T23:18:01.663164Z,6.68
2026-09-08T10:00:00,35.20,api.open-meteo.com,2026-09-07T23:18:01.663164Z,7.68
2026-09-08T11:00:00,34.90,api.open-meteo.com,2026-09-07T23:18:01.663164Z,8.68
2026-09-08T12:00:00,35.90,api.open-meteo.com,2026-09-07T23:18:01.663164Z,9.68
2026-09-08T13:00:00,35.60,api.open-meteo.com,2026-09-07T23:18:01.663164Z,10.68
2026-09-08T14:00:00,35.70,api.open-meteo.com,2026-09-07T23:18:01.663164Z,11.68
2026-09-08T15:00:00,35.70,api.open-meteo.com,2026-09-07T23:18:01.663164Z,12.68
2026-09-08T16:00:00,35.10,api.open-meteo.com,2026-09-07T23:18:01.663164Z,13.68
2026-09-08T17:00:00,34.30,api.open-meteo.com,2026-09-07T23:18:01.663164Z,14.68
2026-09-08T18:00:00,32.70,api.open-meteo.com,2026-09-07T23:18:01.663164Z,15.68
2026-09-08T19:00:00,31.40,api.open-meteo.com,2026-09-07T23:18:01.663164Z,16.68
2026-09-08T20:00:00,30.80,api.open-meteo.com,2026-09-07T23:18:01.663164Z,17.68
2026-09-08T21:00:00,30.40,api.open-meteo.com,2026-09-07T23:18:01.663164Z,18.68
2026-09-08T22:00:00,30.0,api.open-meteo.com,2026-09-07T23:18:01.663164Z,19.68
2026-09-08T23:00:00,30.50,api.open-meteo.com,2026-09-07T23:18:01.663164Z,20.68
2026-09-09T00:00:00,30.0,api.open-meteo.com,2026-09-07T23:18:01.663164Z,21.68
2026-09-09T01:00:00,29.20,api.open-meteo.com,2026-09-07T23:18:01.663164Z,22.68
2026-09-09T02:00:00,28.0,api.open-meteo.com,2026-09-07T23:18:01.663164Z,23.68
2026-09-09T03:00:00,27.60,api.open-meteo.com,2026-09-07T23:18:01.663164Z,24.68
2026-09-09T04:00:00,27.10,api.open-meteo.com,2026-09-07T23:18:01.663164Z,25.68
2026-09-09T05:00:00,26.50,api.open-meteo.com,2026-09-07T23:18:01.663164Z,26.68
2026-09-09T06:00:00,26.20,api.open-meteo.com,2026-09-07T23:18:01.663164Z,27.68
2026-09-09T07:00:00,26.90,api.open-meteo.com,2026-09-07T23:18:01.663164Z,28.68
2026-09-09T08:00:00,30.50,api.open-meteo.com,2026-09-07T23:18:01.663164Z,29.68
2026-09-09T09:00:00,33.70,api.open-meteo.com,2026-09-07T23:18:01.663164Z,30.68
2026-09-09T10:00:00,36.20,api.open-meteo.com,2026-09-07T23:18:01.663164Z,31.68
2026-09-09T11:00:00,37.80,api.open-meteo.com,2026-09-07T23:18:01.663164Z,32.68
2026-09-09T12:00:00,38.40,api.open-meteo.com,2026-09-07T23:18:01.663164Z,33.68
2026-09-09T13:00:00,38.40,api.open-meteo.com,2026-09-07T23:18:01.663164Z,34.68
2026-09-09T14:00:00,37.90,api.open-meteo.com,2026-09-07T23:18:01.663164Z,35.68
2026-09-09T15:00:00,37.0,api.open-meteo.com,2026-09-07T23:18:01.663164Z,36.68
2026-09-09T16:00:00,35.90,api.open-meteo.com,2026-09-07T23:18:01.663164Z,37.68
2026-09-09T17:00:00,34.90,api.open-meteo.com,2026-09-07T23:18:01.663164Z,38.68
2026-09-09T18:00:00,33.80,api.open-meteo.com,2026-09-07T23:18:01.663164Z,39.68
2026-09-09T19:00:00,32.50,api.open-meteo.com,2026-09-07T23:18:01.663164Z,40.68
2026-09-09T20:00:00,32.0,api.open-meteo.com,2026-09-07T23:18:01.663164Z,41.68
2026-09-09T21:00:00,32.30,api.open-meteo.com,2026-09-07T23:18:01.663164Z,42.68
2026-09-09T22:00:00,32.0,api.open-meteo.com,2026-09-07T23:18:01.663164Z,43.68
2026-09-09T23:00:00,31.20,api.open-meteo.com,2026-09-07T23:18:01.663164Z,44.68
2026-09-10T00:00:00,30.20,api.open-meteo.com,2026-09-07T23:18:01.663164Z,45.68
2026-09-10T01:00:00,29.60,api.open-meteo.com,2026-09-07T23:18:01.663164Z,46.68
2026-09-10T02:00:00,29.10,api.open-meteo.com,2026-09-07T23:18:01.663164Z,47.68
2026-09-10T03:00:00,28.60,api.open-meteo.com,2026-09-07T23:18:01.663164Z,48.68
2026-09-10T04:00:00,28.90,api.open-meteo.com,2026-09-07T23:18:01.663164Z,49.68
2026-09-10T05:00:00,28.60,api.open-meteo.com,2026-09-07T23:18:01.663164Z,50.68
2026-09-10T06:00:00,28.30,api.open-meteo.com,2026-09-07T23:18:01.663164Z,51.68
2026-09-10T07:00:00,28.60,api.open-meteo.com,2026-09-07T23:18:01.663164Z,52.68
2026-09-10T08:00:00,30.50,api.open-meteo.com,2026-09-07T23:18:01.663164Z,53.68
2026-09-10T09:00:00,33.10,api.open-meteo.com,2026-09-07T23:18:01.663164Z,54.68
2026-09-10T10:00:00,35.10,api.open-meteo.com,2026-09-07T23:18:01.663164Z,55.68
2026-09-10T11:00:00,36.80,api.open-meteo.com,2026-09-07T23:18:01.663164Z,56.68
2026-09-10T12:00:00,37.60,api.open-meteo.com,2026-09-07T23:18:01.663164Z,57.68
2026-09-10T13:00:00,37.80,api.open-meteo.com,2026-09-07T23:18:01.663164Z,58.68
2026-09-10T14:00:00,37.80,api.open-meteo.com,2026-09-07T23:18:01.663164Z,59.68
2026-09-10T15:00:00,37.0,api.open-meteo.com,2026-09-07T23:18:01.663164Z,60.68
2026-09-10T16:00:00,35.70,api.open-meteo.com,2026-09-07T23:18:01.663164Z,61.68
2026-09-10T17:00:00,34.50,api.open-meteo.com,2026-09-07T23:18:01.663164Z,62.68
2026-09-10T18:00:00,33.40,api.open-meteo.com,2026-09-07T23:18:01.663164Z,63.68
2026-09-10T19:00:00,32.10,api.open-meteo.com,2026-09-07T23:18:01.663164Z,64.68
2026-09-10T20:00:00,31.30,api.open-meteo.com,2026-09-07T23:18:01.663164Z,65.68
2026-09-10T21:00:00,31.40,api.open-meteo.com,2026-09-07T23:18:01.663164Z,66.68
2026-09-10T22:00:00,31.20,api.open-meteo.com,2026-09-07T23:18:01.663164Z,67.68
2026-09-10T23:00:00,30.50,api.open-meteo.com,2026-09-07T23:18:01.663164Z,68.68
2026-09-11T00:00:00,29.80,api.open-meteo.com,2026-09-07T23:18:01.663164Z,69.68
2026-09-11T01:00:00,29.40,api.open-meteo.com,2026-09-07T23:18:01.663164Z,70.68
2026-09-11T02:00:00,29.0,api.open-meteo.com,2026-09-07T23:18:01.663164Z,71.68
