valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-07T18:00:00,10.40,api.open-meteo.com,2026-09-07T20:25:17.542731Z,0.57
2026-09-07T19:00:00,8.50,api.open-meteo.com,2026-09-07T20:25:17.542731Z,1.57
2026-09-07T20:00:00,7.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,2.57
2026-09-07T21:00:00,7.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,3.57
2026-09-07T22:00:00,6.80,api.open-meteo.com,2026-09-07T20:25:17.542731Z,4.57
2026-09-07T23:00:00,6.60,api.open-meteo.com,2026-09-07T20:25:17.542731Z,5.57
2026-09-08T00:00:00,6.30,api.open-meteo.com,2026-09-07T20:25:17.542731Z,6.57
2026-09-08T01:00:00,6.30,api.open-meteo.com,2026-09-07T20:25:17.542731Z,7.57
2026-09-08T02:00:00,6.30,api.open-meteo.com,2026-09-07T20:25:17.542731Z,8.57
2026-09-08T03:00:00,6.10,api.open-meteo.com,2026-09-07T20:25:17.542731Z,9.57
2026-09-08T04:00:00,5.40,api.open-meteo.com,2026-09-07T20:25:17.542731Z,10.57
2026-09-08T05:00:00,5.10,api.open-meteo.com,2026-09-07T20:25:17.542731Z,11.57
2026-09-08T06:00:00,4.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,12.57
2026-09-08T07:00:00,4.60,api.open-meteo.com,2026-09-07T20:25:17.542731Z,13.57
2026-09-08T08:00:00,6.10,api.open-meteo.com,2026-09-07T20:25:17.542731Z,14.57
2026-09-08T09:00:00,8.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,15.57
2026-09-08T10:00:00,11.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,16.57
2026-09-08T11:00:00,13.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,17.57
2026-09-08T12:00:00,14.40,api.open-meteo.com,2026-09-07T20:25:17.542731Z,18.57
2026-09-08T13:00:00,15.50,api.open-meteo.com,2026-09-07T20:25:17.542731Z,19.57
2026-09-08T14:00:00,16.10,api.open-meteo.com,2026-09-07T20:25:17.542731Z,20.57
2026-09-08T15:00:00,16.50,api.open-meteo.com,2026-09-07T20:25:17.542731Z,21.57
2026-09-08T16:00:00,16.60,api.open-meteo.com,2026-09-07T20:25:17.542731Z,22.57
2026-09-08T17:00:00,16.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,23.57
2026-09-08T18:00:00,14.40,api.open-meteo.com,2026-09-07T20:25:17.542731Z,24.57
2026-09-08T19:00:00,12.10,api.open-meteo.com,2026-09-07T20:25:17.542731Z,25.57
2026-09-08T20:00:00,11.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,26.57
2026-09-08T21:00:00,10.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,27.57
2026-09-08T22:00:00,10.10,api.open-meteo.com,2026-09-07T20:25:17.542731Z,28.57
2026-09-08T23:00:00,9.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,29.57
2026-09-09T00:00:00,9.30,api.open-meteo.com,2026-09-07T20:25:17.542731Z,30.57
2026-09-09T01:00:00,9.30,api.open-meteo.com,2026-09-07T20:25:17.542731Z,31.57
2026-09-09T02:00:00,9.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,32.57
2026-09-09T03:00:00,8.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,33.57
2026-09-09T04:00:00,8.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,34.57
2026-09-09T05:00:00,7.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,35.57
2026-09-09T06:00:00,7.60,api.open-meteo.com,2026-09-07T20:25:17.542731Z,36.57
2026-09-09T07:00:00,7.50,api.open-meteo.com,2026-09-07T20:25:17.542731Z,37.57
2026-09-09T08:00:00,8.90,api.open-meteo.com,2026-09-07T20:25:17.542731Z,38.57
2026-09-09T09:00:00,11.40,api.open-meteo.com,2026-09-07T20:25:17.542731Z,39.57
2026-09-09T10:00:00,13.90,api.open-meteo.com,2026-09-07T20:25:17.542731Z,40.57
2026-09-09T11:00:00,16.0,api.open-meteo.com,2026-09-07T20:25:17.542731Z,41.57
2026-09-09T12:00:00,17.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,42.57
2026-09-09T13:00:00,17.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,43.57
2026-09-09T14:00:00,17.10,api.open-meteo.com,2026-09-07T20:25:17.542731Z,44.57
2026-09-09T15:00:00,18.0,api.open-meteo.com,2026-09-07T20:25:17.542731Z,45.57
2026-09-09T16:00:00,17.90,api.open-meteo.com,2026-09-07T20:25:17.542731Z,46.57
2026-09-09T17:00:00,16.40,api.open-meteo.com,2026-09-07T20:25:17.542731Z,47.57
2026-09-09T18:00:00,14.50,api.open-meteo.com,2026-09-07T20:25:17.542731Z,48.57
2026-09-09T19:00:00,13.10,api.open-meteo.com,2026-09-07T20:25:17.542731Z,49.57
2026-09-09T20:00:00,12.30,api.open-meteo.com,2026-09-07T20:25:17.542731Z,50.57
2026-09-09T21:00:00,11.60,api.open-meteo.com,2026-09-07T20:25:17.542731Z,51.57
2026-09-09T22:00:00,10.90,api.open-meteo.com,2026-09-07T20:25:17.542731Z,52.57
2026-09-09T23:00:00,10.60,api.open-meteo.com,2026-09-07T20:25:17.542731Z,53.57
2026-09-10T00:00:00,9.80,api.open-meteo.com,2026-09-07T20:25:17.542731Z,54.57
2026-09-10T01:00:00,10.30,api.open-meteo.com,2026-09-07T20:25:17.542731Z,55.57
2026-09-10T02:00:00,9.30,api.open-meteo.com,2026-09-07T20:25:17.542731Z,56.57
2026-09-10T03:00:00,8.90,api.open-meteo.com,2026-09-07T20:25:17.542731Z,57.57
2026-09-10T04:00:00,9.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,58.57
2026-09-10T05:00:00,8.80,api.open-meteo.com,2026-09-07T20:25:17.542731Z,59.57
2026-09-10T06:00:00,8.60,api.open-meteo.com,2026-09-07T20:25:17.542731Z,60.57
2026-09-10T07:00:00,8.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,61.57
2026-09-10T08:00:00,9.0,api.open-meteo.com,2026-09-07T20:25:17.542731Z,62.57
2026-09-10T09:00:00,11.90,api.open-meteo.com,2026-09-07T20:25:17.542731Z,63.57
2026-09-10T10:00:00,14.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,64.57
2026-09-10T11:00:00,16.70,api.open-meteo.com,2026-09-07T20:25:17.542731Z,65.57
2026-09-10T12:00:00,17.80,api.open-meteo.com,2026-09-07T20:25:17.542731Z,66.57
2026-09-10T13:00:00,18.90,api.open-meteo.com,2026-09-07T20:25:17.542731Z,67.57
2026-09-10T14:00:00,19.40,api.open-meteo.com,2026-09-07T20:25:17.542731Z,68.57
2026-09-10T15:00:00,19.50,api.open-meteo.com,2026-09-07T20:25:17.542731Z,69.57
2026-09-10T16:00:00,17.90,api.open-meteo.com,2026-09-07T20:25:17.542731Z,70.57
2026-09-10T17:00:00,16.20,api.open-meteo.com,2026-09-07T20:25:17.542731Z,71.57
