valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T20:00:00,9.70,api.open-meteo.com,2026-09-08T16:10:07.179690Z,0.82
2026-09-08T21:00:00,8.70,api.open-meteo.com,2026-09-08T16:10:07.179690Z,1.82
2026-09-08T22:00:00,7.80,api.open-meteo.com,2026-09-08T16:10:07.179690Z,2.82
2026-09-08T23:00:00,6.90,api.open-meteo.com,2026-09-08T16:10:07.179690Z,3.82
2026-09-09T00:00:00,6.10,api.open-meteo.com,2026-09-08T16:10:07.179690Z,4.82
2026-09-09T01:00:00,5.50,api.open-meteo.com,2026-09-08T16:10:07.179690Z,5.82
2026-09-09T02:00:00,5.50,api.open-meteo.com,2026-09-08T16:10:07.179690Z,6.82
2026-09-09T03:00:00,5.60,api.open-meteo.com,2026-09-08T16:10:07.179690Z,7.82
2026-09-09T04:00:00,5.60,api.open-meteo.com,2026-09-08T16:10:07.179690Z,8.82
2026-09-09T05:00:00,5.60,api.open-meteo.com,2026-09-08T16:10:07.179690Z,9.82
2026-09-09T06:00:00,5.70,api.open-meteo.com,2026-09-08T16:10:07.179690Z,10.82
2026-09-09T07:00:00,7.10,api.open-meteo.com,2026-09-08T16:10:07.179690Z,11.82
2026-09-09T08:00:00,10.10,api.open-meteo.com,2026-09-08T16:10:07.179690Z,12.82
2026-09-09T09:00:00,12.80,api.open-meteo.com,2026-09-08T16:10:07.179690Z,13.82
2026-09-09T10:00:00,15.10,api.open-meteo.com,2026-09-08T16:10:07.179690Z,14.82
2026-09-09T11:00:00,17.0,api.open-meteo.com,2026-09-08T16:10:07.179690Z,15.82
2026-09-09T12:00:00,18.40,api.open-meteo.com,2026-09-08T16:10:07.179690Z,16.82
2026-09-09T13:00:00,19.40,api.open-meteo.com,2026-09-08T16:10:07.179690Z,17.82
2026-09-09T14:00:00,19.90,api.open-meteo.com,2026-09-08T16:10:07.179690Z,18.82
2026-09-09T15:00:00,20.10,api.open-meteo.com,2026-09-08T16:10:07.179690Z,19.82
2026-09-09T16:00:00,20.0,api.open-meteo.com,2026-09-08T16:10:07.179690Z,20.82
2026-09-09T17:00:00,19.40,api.open-meteo.com,2026-09-08T16:10:07.179690Z,21.82
2026-09-09T18:00:00,18.0,api.open-meteo.com,2026-09-08T16:10:07.179690Z,22.82
2026-09-09T19:00:00,16.40,api.open-meteo.com,2026-09-08T16:10:07.179690Z,23.82
2026-09-09T20:00:00,15.10,api.open-meteo.com,2026-09-08T16:10:07.179690Z,24.82
