valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T10:00:00,19.60,api.open-meteo.com,2026-09-08T01:04:46.913175Z,0.92
2026-09-08T11:00:00,20.20,api.open-meteo.com,2026-09-08T01:04:46.913175Z,1.92
2026-09-08T12:00:00,20.60,api.open-meteo.com,2026-09-08T01:04:46.913175Z,2.92
2026-09-08T13:00:00,21.80,api.open-meteo.com,2026-09-08T01:04:46.913175Z,3.92
2026-09-08T14:00:00,21.80,api.open-meteo.com,2026-09-08T01:04:46.913175Z,4.92
2026-09-08T15:00:00,22.30,api.open-meteo.com,2026-09-08T01:04:46.913175Z,5.92
2026-09-08T16:00:00,22.20,api.open-meteo.com,2026-09-08T01:04:46.913175Z,6.92
2026-09-08T17:00:00,21.70,api.open-meteo.com,2026-09-08T01:04:46.913175Z,7.92
2026-09-08T18:00:00,20.10,api.open-meteo.com,2026-09-08T01:04:46.913175Z,8.92
2026-09-08T19:00:00,18.50,api.open-meteo.com,2026-09-08T01:04:46.913175Z,9.92
2026-09-08T20:00:00,17.60,api.open-meteo.com,2026-09-08T01:04:46.913175Z,10.92
2026-09-08T21:00:00,17.0,api.open-meteo.com,2026-09-08T01:04:46.913175Z,11.92
2026-09-08T22:00:00,16.30,api.open-meteo.com,2026-09-08T01:04:46.913175Z,12.92
2026-09-08T23:00:00,14.90,api.open-meteo.com,2026-09-08T01:04:46.913175Z,13.92
2026-09-09T00:00:00,14.20,api.open-meteo.com,2026-09-08T01:04:46.913175Z,14.92
2026-09-09T01:00:00,14.30,api.open-meteo.com,2026-09-08T01:04:46.913175Z,15.92
2026-09-09T02:00:00,14.20,api.open-meteo.com,2026-09-08T01:04:46.913175Z,16.92
2026-09-09T03:00:00,14.70,api.open-meteo.com,2026-09-08T01:04:46.913175Z,17.92
2026-09-09T04:00:00,14.90,api.open-meteo.com,2026-09-08T01:04:46.913175Z,18.92
2026-09-09T05:00:00,14.70,api.open-meteo.com,2026-09-08T01:04:46.913175Z,19.92
2026-09-09T06:00:00,14.20,api.open-meteo.com,2026-09-08T01:04:46.913175Z,20.92
2026-09-09T07:00:00,15.10,api.open-meteo.com,2026-09-08T01:04:46.913175Z,21.92
2026-09-09T08:00:00,16.90,api.open-meteo.com,2026-09-08T01:04:46.913175Z,22.92
2026-09-09T09:00:00,18.50,api.open-meteo.com,2026-09-08T01:04:46.913175Z,23.92
2026-09-09T10:00:00,20.50,api.open-meteo.com,2026-09-08T01:04:46.913175Z,24.92
2026-09-09T11:00:00,21.60,api.open-meteo.com,2026-09-08T01:04:46.913175Z,25.92
2026-09-09T12:00:00,22.50,api.open-meteo.com,2026-09-08T01:04:46.913175Z,26.92
2026-09-09T13:00:00,23.50,api.open-meteo.com,2026-09-08T01:04:46.913175Z,27.92
2026-09-09T14:00:00,23.80,api.open-meteo.com,2026-09-08T01:04:46.913175Z,28.92
2026-09-09T15:00:00,23.80,api.open-meteo.com,2026-09-08T01:04:46.913175Z,29.92
2026-09-09T16:00:00,23.20,api.open-meteo.com,2026-09-08T01:04:46.913175Z,30.92
2026-09-09T17:00:00,22.20,api.open-meteo.com,2026-09-08T01:04:46.913175Z,31.92
2026-09-09T18:00:00,20.50,api.open-meteo.com,2026-09-08T01:04:46.913175Z,32.92
2026-09-09T19:00:00,19.40,api.open-meteo.com,2026-09-08T01:04:46.913175Z,33.92
2026-09-09T20:00:00,18.80,api.open-meteo.com,2026-09-08T01:04:46.913175Z,34.92
2026-09-09T21:00:00,18.20,api.open-meteo.com,2026-09-08T01:04:46.913175Z,35.92
2026-09-09T22:00:00,16.80,api.open-meteo.com,2026-09-08T01:04:46.913175Z,36.92
2026-09-09T23:00:00,16.20,api.open-meteo.com,2026-09-08T01:04:46.913175Z,37.92
2026-09-10T00:00:00,15.30,api.open-meteo.com,2026-09-08T01:04:46.913175Z,38.92
2026-09-10T01:00:00,13.80,api.open-meteo.com,2026-09-08T01:04:46.913175Z,39.92
2026-09-10T02:00:00,13.10,api.open-meteo.com,2026-09-08T01:04:46.913175Z,40.92
2026-09-10T03:00:00,12.60,api.open-meteo.com,2026-09-08T01:04:46.913175Z,41.92
2026-09-10T04:00:00,12.30,api.open-meteo.com,2026-09-08T01:04:46.913175Z,42.92
