valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-09T14:00:00,30.20,api.open-meteo.com,2026-09-09T05:03:35.980698Z,0.93
2026-09-09T15:00:00,29.60,api.open-meteo.com,2026-09-09T05:03:35.980698Z,1.93
2026-09-09T16:00:00,30.0,api.open-meteo.com,2026-09-09T05:03:35.980698Z,2.93
2026-09-09T17:00:00,28.30,api.open-meteo.com,2026-09-09T05:03:35.980698Z,3.93
2026-09-09T18:00:00,28.20,api.open-meteo.com,2026-09-09T05:03:35.980698Z,4.93
2026-09-09T19:00:00,26.90,api.open-meteo.com,2026-09-09T05:03:35.980698Z,5.93
2026-09-09T20:00:00,26.40,api.open-meteo.com,2026-09-09T05:03:35.980698Z,6.93
2026-09-09T21:00:00,25.90,api.open-meteo.com,2026-09-09T05:03:35.980698Z,7.93
2026-09-09T22:00:00,25.70,api.open-meteo.com,2026-09-09T05:03:35.980698Z,8.93
2026-09-09T23:00:00,25.50,api.open-meteo.com,2026-09-09T05:03:35.980698Z,9.93
2026-09-10T00:00:00,25.20,api.open-meteo.com,2026-09-09T05:03:35.980698Z,10.93
2026-09-10T01:00:00,25.0,api.open-meteo.com,2026-09-09T05:03:35.980698Z,11.93
2026-09-10T02:00:00,24.50,api.open-meteo.com,2026-09-09T05:03:35.980698Z,12.93
2026-09-10T03:00:00,24.50,api.open-meteo.com,2026-09-09T05:03:35.980698Z,13.93
2026-09-10T04:00:00,24.0,api.open-meteo.com,2026-09-09T05:03:35.980698Z,14.93
2026-09-10T05:00:00,22.80,api.open-meteo.com,2026-09-09T05:03:35.980698Z,15.93
2026-09-10T06:00:00,21.90,api.open-meteo.com,2026-09-09T05:03:35.980698Z,16.93
2026-09-10T07:00:00,22.40,api.open-meteo.com,2026-09-09T05:03:35.980698Z,17.93
2026-09-10T08:00:00,23.80,api.open-meteo.com,2026-09-09T05:03:35.980698Z,18.93
2026-09-10T09:00:00,25.50,api.open-meteo.com,2026-09-09T05:03:35.980698Z,19.93
2026-09-10T10:00:00,28.0,api.open-meteo.com,2026-09-09T05:03:35.980698Z,20.93
2026-09-10T11:00:00,29.50,api.open-meteo.com,2026-09-09T05:03:35.980698Z,21.93
2026-09-10T12:00:00,30.70,api.open-meteo.com,2026-09-09T05:03:35.980698Z,22.93
2026-09-10T13:00:00,31.30,api.open-meteo.com,2026-09-09T05:03:35.980698Z,23.93
2026-09-10T14:00:00,31.50,api.open-meteo.com,2026-09-09T05:03:35.980698Z,24.93
2026-09-10T15:00:00,31.40,api.open-meteo.com,2026-09-09T05:03:35.980698Z,25.93
2026-09-10T16:00:00,28.70,api.open-meteo.com,2026-09-09T05:03:35.980698Z,26.93
2026-09-10T17:00:00,27.40,api.open-meteo.com,2026-09-09T05:03:35.980698Z,27.93
2026-09-10T18:00:00,26.90,api.open-meteo.com,2026-09-09T05:03:35.980698Z,28.93
2026-09-10T19:00:00,26.20,api.open-meteo.com,2026-09-09T05:03:35.980698Z,29.93
2026-09-10T20:00:00,26.0,api.open-meteo.com,2026-09-09T05:03:35.980698Z,30.93
2026-09-10T21:00:00,25.50,api.open-meteo.com,2026-09-09T05:03:35.980698Z,31.93
2026-09-10T22:00:00,25.90,api.open-meteo.com,2026-09-09T05:03:35.980698Z,32.93
2026-09-10T23:00:00,26.0,api.open-meteo.com,2026-09-09T05:03:35.980698Z,33.93
2026-09-11T00:00:00,25.70,api.open-meteo.com,2026-09-09T05:03:35.980698Z,34.93
2026-09-11T01:00:00,25.10,api.open-meteo.com,2026-09-09T05:03:35.980698Z,35.93
2026-09-11T02:00:00,25.10,api.open-meteo.com,2026-09-09T05:03:35.980698Z,36.93
2026-09-11T03:00:00,24.90,api.open-meteo.com,2026-09-09T05:03:35.980698Z,37.93
2026-09-11T04:00:00,24.40,api.open-meteo.com,2026-09-09T05:03:35.980698Z,38.93
2026-09-11T05:00:00,23.70,api.open-meteo.com,2026-09-09T05:03:35.980698Z,39.93
2026-09-11T06:00:00,23.30,api.open-meteo.com,2026-09-09T05:03:35.980698Z,40.93
2026-09-11T07:00:00,23.50,api.open-meteo.com,2026-09-09T05:03:35.980698Z,41.93
2026-09-11T08:00:00,24.80,api.open-meteo.com,2026-09-09T05:03:35.980698Z,42.93
2026-09-11T09:00:00,26.20,api.open-meteo.com,2026-09-09T05:03:35.980698Z,43.93
2026-09-11T10:00:00,27.60,api.open-meteo.com,2026-09-09T05:03:35.980698Z,44.93
2026-09-11T11:00:00,28.90,api.open-meteo.com,2026-09-09T05:03:35.980698Z,45.93
2026-09-11T12:00:00,29.90,api.open-meteo.com,2026-09-09T05:03:35.980698Z,46.93
