valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-09T09:00:00,14.90,api.open-meteo.com,2026-09-09T00:27:30.262324Z,0.53
2026-09-09T10:00:00,15.80,api.open-meteo.com,2026-09-09T00:27:30.262324Z,1.53
2026-09-09T11:00:00,18.10,api.open-meteo.com,2026-09-09T00:27:30.262324Z,2.53
2026-09-09T12:00:00,18.0,api.open-meteo.com,2026-09-09T00:27:30.262324Z,3.53
2026-09-09T13:00:00,17.70,api.open-meteo.com,2026-09-09T00:27:30.262324Z,4.53
2026-09-09T14:00:00,18.30,api.open-meteo.com,2026-09-09T00:27:30.262324Z,5.53
2026-09-09T15:00:00,18.90,api.open-meteo.com,2026-09-09T00:27:30.262324Z,6.53
2026-09-09T16:00:00,18.70,api.open-meteo.com,2026-09-09T00:27:30.262324Z,7.53
2026-09-09T17:00:00,18.70,api.open-meteo.com,2026-09-09T00:27:30.262324Z,8.53
2026-09-09T18:00:00,18.50,api.open-meteo.com,2026-09-09T00:27:30.262324Z,9.53
2026-09-09T19:00:00,17.90,api.open-meteo.com,2026-09-09T00:27:30.262324Z,10.53
2026-09-09T20:00:00,17.70,api.open-meteo.com,2026-09-09T00:27:30.262324Z,11.53
2026-09-09T21:00:00,17.20,api.open-meteo.com,2026-09-09T00:27:30.262324Z,12.53
2026-09-09T22:00:00,16.70,api.open-meteo.com,2026-09-09T00:27:30.262324Z,13.53
2026-09-09T23:00:00,16.50,api.open-meteo.com,2026-09-09T00:27:30.262324Z,14.53
2026-09-10T00:00:00,16.30,api.open-meteo.com,2026-09-09T00:27:30.262324Z,15.53
2026-09-10T01:00:00,17.0,api.open-meteo.com,2026-09-09T00:27:30.262324Z,16.53
2026-09-10T02:00:00,17.0,api.open-meteo.com,2026-09-09T00:27:30.262324Z,17.53
2026-09-10T03:00:00,16.90,api.open-meteo.com,2026-09-09T00:27:30.262324Z,18.53
2026-09-10T04:00:00,16.80,api.open-meteo.com,2026-09-09T00:27:30.262324Z,19.53
2026-09-10T05:00:00,16.90,api.open-meteo.com,2026-09-09T00:27:30.262324Z,20.53
2026-09-10T06:00:00,17.0,api.open-meteo.com,2026-09-09T00:27:30.262324Z,21.53
2026-09-10T07:00:00,17.20,api.open-meteo.com,2026-09-09T00:27:30.262324Z,22.53
2026-09-10T08:00:00,18.0,api.open-meteo.com,2026-09-09T00:27:30.262324Z,23.53
2026-09-10T09:00:00,18.50,api.open-meteo.com,2026-09-09T00:27:30.262324Z,24.53
2026-09-10T10:00:00,20.20,api.open-meteo.com,2026-09-09T00:27:30.262324Z,25.53
2026-09-10T11:00:00,21.20,api.open-meteo.com,2026-09-09T00:27:30.262324Z,26.53
2026-09-10T12:00:00,22.0,api.open-meteo.com,2026-09-09T00:27:30.262324Z,27.53
2026-09-10T13:00:00,22.20,api.open-meteo.com,2026-09-09T00:27:30.262324Z,28.53
2026-09-10T14:00:00,22.50,api.open-meteo.com,2026-09-09T00:27:30.262324Z,29.53
2026-09-10T15:00:00,22.60,api.open-meteo.com,2026-09-09T00:27:30.262324Z,30.53
2026-09-10T16:00:00,22.60,api.open-meteo.com,2026-09-09T00:27:30.262324Z,31.53
2026-09-10T17:00:00,22.10,api.open-meteo.com,2026-09-09T00:27:30.262324Z,32.53
2026-09-10T18:00:00,21.0,api.open-meteo.com,2026-09-09T00:27:30.262324Z,33.53
2026-09-10T19:00:00,20.10,api.open-meteo.com,2026-09-09T00:27:30.262324Z,34.53
2026-09-10T20:00:00,19.70,api.open-meteo.com,2026-09-09T00:27:30.262324Z,35.53
2026-09-10T21:00:00,19.30,api.open-meteo.com,2026-09-09T00:27:30.262324Z,36.53
2026-09-10T22:00:00,18.20,api.open-meteo.com,2026-09-09T00:27:30.262324Z,37.53
2026-09-10T23:00:00,17.0,api.open-meteo.com,2026-09-09T00:27:30.262324Z,38.53
2026-09-11T00:00:00,16.90,api.open-meteo.com,2026-09-09T00:27:30.262324Z,39.53
2026-09-11T01:00:00,17.10,api.open-meteo.com,2026-09-09T00:27:30.262324Z,40.53
2026-09-11T02:00:00,17.10,api.open-meteo.com,2026-09-09T00:27:30.262324Z,41.53
2026-09-11T03:00:00,17.10,api.open-meteo.com,2026-09-09T00:27:30.262324Z,42.53
2026-09-11T04:00:00,17.10,api.open-meteo.com,2026-09-09T00:27:30.262324Z,43.53
2026-09-11T05:00:00,16.90,api.open-meteo.com,2026-09-09T00:27:30.262324Z,44.53
2026-09-11T06:00:00,16.90,api.open-meteo.com,2026-09-09T00:27:30.262324Z,45.53
2026-09-11T07:00:00,17.10,api.open-meteo.com,2026-09-09T00:27:30.262324Z,46.53
2026-09-11T08:00:00,18.40,api.open-meteo.com,2026-09-09T00:27:30.262324Z,47.53
2026-09-11T09:00:00,20.40,api.open-meteo.com,2026-09-09T00:27:30.262324Z,48.53
2026-09-11T10:00:00,22.20,api.open-meteo.com,2026-09-09T00:27:30.262324Z,49.53
2026-09-11T11:00:00,23.50,api.open-meteo.com,2026-09-09T00:27:30.262324Z,50.53
2026-09-11T12:00:00,23.40,api.open-meteo.com,2026-09-09T00:27:30.262324Z,51.53
2026-09-11T13:00:00,24.50,api.open-meteo.com,2026-09-09T00:27:30.262324Z,52.53
2026-09-11T14:00:00,24.30,api.open-meteo.com,2026-09-09T00:27:30.262324Z,53.53
