valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T20:00:00,21.10,api.open-meteo.com,2026-09-08T11:37:58.854039Z,0.37
2026-09-08T21:00:00,20.60,api.open-meteo.com,2026-09-08T11:37:58.854039Z,1.37
2026-09-08T22:00:00,20.20,api.open-meteo.com,2026-09-08T11:37:58.854039Z,2.37
2026-09-08T23:00:00,19.10,api.open-meteo.com,2026-09-08T11:37:58.854039Z,3.37
2026-09-09T00:00:00,18.40,api.open-meteo.com,2026-09-08T11:37:58.854039Z,4.37
2026-09-09T01:00:00,17.80,api.open-meteo.com,2026-09-08T11:37:58.854039Z,5.37
2026-09-09T02:00:00,18.0,api.open-meteo.com,2026-09-08T11:37:58.854039Z,6.37
2026-09-09T03:00:00,17.90,api.open-meteo.com,2026-09-08T11:37:58.854039Z,7.37
2026-09-09T04:00:00,18.30,api.open-meteo.com,2026-09-08T11:37:58.854039Z,8.37
2026-09-09T05:00:00,18.10,api.open-meteo.com,2026-09-08T11:37:58.854039Z,9.37
2026-09-09T06:00:00,18.20,api.open-meteo.com,2026-09-08T11:37:58.854039Z,10.37
2026-09-09T07:00:00,18.50,api.open-meteo.com,2026-09-08T11:37:58.854039Z,11.37
2026-09-09T08:00:00,19.90,api.open-meteo.com,2026-09-08T11:37:58.854039Z,12.37
2026-09-09T09:00:00,21.50,api.open-meteo.com,2026-09-08T11:37:58.854039Z,13.37
2026-09-09T10:00:00,23.20,api.open-meteo.com,2026-09-08T11:37:58.854039Z,14.37
2026-09-09T11:00:00,22.80,api.open-meteo.com,2026-09-08T11:37:58.854039Z,15.37
2026-09-09T12:00:00,23.0,api.open-meteo.com,2026-09-08T11:37:58.854039Z,16.37
2026-09-09T13:00:00,22.70,api.open-meteo.com,2026-09-08T11:37:58.854039Z,17.37
2026-09-09T14:00:00,22.60,api.open-meteo.com,2026-09-08T11:37:58.854039Z,18.37
2026-09-09T15:00:00,22.70,api.open-meteo.com,2026-09-08T11:37:58.854039Z,19.37
2026-09-09T16:00:00,23.0,api.open-meteo.com,2026-09-08T11:37:58.854039Z,20.37
2026-09-09T17:00:00,22.50,api.open-meteo.com,2026-09-08T11:37:58.854039Z,21.37
2026-09-09T18:00:00,21.60,api.open-meteo.com,2026-09-08T11:37:58.854039Z,22.37
2026-09-09T19:00:00,20.0,api.open-meteo.com,2026-09-08T11:37:58.854039Z,23.37
2026-09-09T20:00:00,19.30,api.open-meteo.com,2026-09-08T11:37:58.854039Z,24.37
2026-09-09T21:00:00,18.20,api.open-meteo.com,2026-09-08T11:37:58.854039Z,25.37
2026-09-09T22:00:00,17.70,api.open-meteo.com,2026-09-08T11:37:58.854039Z,26.37
2026-09-09T23:00:00,17.0,api.open-meteo.com,2026-09-08T11:37:58.854039Z,27.37
2026-09-10T00:00:00,17.20,api.open-meteo.com,2026-09-08T11:37:58.854039Z,28.37
2026-09-10T01:00:00,16.60,api.open-meteo.com,2026-09-08T11:37:58.854039Z,29.37
2026-09-10T02:00:00,16.20,api.open-meteo.com,2026-09-08T11:37:58.854039Z,30.37
2026-09-10T03:00:00,15.20,api.open-meteo.com,2026-09-08T11:37:58.854039Z,31.37
2026-09-10T04:00:00,14.50,api.open-meteo.com,2026-09-08T11:37:58.854039Z,32.37
2026-09-10T05:00:00,13.80,api.open-meteo.com,2026-09-08T11:37:58.854039Z,33.37
2026-09-10T06:00:00,13.80,api.open-meteo.com,2026-09-08T11:37:58.854039Z,34.37
2026-09-10T07:00:00,15.40,api.open-meteo.com,2026-09-08T11:37:58.854039Z,35.37
2026-09-10T08:00:00,18.0,api.open-meteo.com,2026-09-08T11:37:58.854039Z,36.37
2026-09-10T09:00:00,21.20,api.open-meteo.com,2026-09-08T11:37:58.854039Z,37.37
2026-09-10T10:00:00,23.90,api.open-meteo.com,2026-09-08T11:37:58.854039Z,38.37
2026-09-10T11:00:00,25.30,api.open-meteo.com,2026-09-08T11:37:58.854039Z,39.37
2026-09-10T12:00:00,26.30,api.open-meteo.com,2026-09-08T11:37:58.854039Z,40.37
2026-09-10T13:00:00,26.90,api.open-meteo.com,2026-09-08T11:37:58.854039Z,41.37
2026-09-10T14:00:00,27.20,api.open-meteo.com,2026-09-08T11:37:58.854039Z,42.37
2026-09-10T15:00:00,27.10,api.open-meteo.com,2026-09-08T11:37:58.854039Z,43.37
2026-09-10T16:00:00,26.70,api.open-meteo.com,2026-09-08T11:37:58.854039Z,44.37
2026-09-10T17:00:00,25.90,api.open-meteo.com,2026-09-08T11:37:58.854039Z,45.37
2026-09-10T18:00:00,24.0,api.open-meteo.com,2026-09-08T11:37:58.854039Z,46.37
2026-09-10T19:00:00,21.90,api.open-meteo.com,2026-09-08T11:37:58.854039Z,47.37
2026-09-10T20:00:00,20.90,api.open-meteo.com,2026-09-08T11:37:58.854039Z,48.37
2026-09-10T21:00:00,20.0,api.open-meteo.com,2026-09-08T11:37:58.854039Z,49.37
2026-09-10T22:00:00,19.50,api.open-meteo.com,2026-09-08T11:37:58.854039Z,50.37
2026-09-10T23:00:00,19.0,api.open-meteo.com,2026-09-08T11:37:58.854039Z,51.37
2026-09-11T00:00:00,17.60,api.open-meteo.com,2026-09-08T11:37:58.854039Z,52.37
2026-09-11T01:00:00,16.90,api.open-meteo.com,2026-09-08T11:37:58.854039Z,53.37
2026-09-11T02:00:00,16.70,api.open-meteo.com,2026-09-08T11:37:58.854039Z,54.37
