valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T10:00:00,22.80,api.open-meteo.com,2026-09-08T01:04:47.413325Z,0.92
2026-09-08T11:00:00,25.20,api.open-meteo.com,2026-09-08T01:04:47.413325Z,1.92
2026-09-08T12:00:00,25.80,api.open-meteo.com,2026-09-08T01:04:47.413325Z,2.92
2026-09-08T13:00:00,26.60,api.open-meteo.com,2026-09-08T01:04:47.413325Z,3.92
2026-09-08T14:00:00,27.20,api.open-meteo.com,2026-09-08T01:04:47.413325Z,4.92
2026-09-08T15:00:00,27.20,api.open-meteo.com,2026-09-08T01:04:47.413325Z,5.92
2026-09-08T16:00:00,25.90,api.open-meteo.com,2026-09-08T01:04:47.413325Z,6.92
2026-09-08T17:00:00,24.40,api.open-meteo.com,2026-09-08T01:04:47.413325Z,7.92
2026-09-08T18:00:00,22.80,api.open-meteo.com,2026-09-08T01:04:47.413325Z,8.92
2026-09-08T19:00:00,21.60,api.open-meteo.com,2026-09-08T01:04:47.413325Z,9.92
2026-09-08T20:00:00,20.90,api.open-meteo.com,2026-09-08T01:04:47.413325Z,10.92
2026-09-08T21:00:00,20.40,api.open-meteo.com,2026-09-08T01:04:47.413325Z,11.92
2026-09-08T22:00:00,20.0,api.open-meteo.com,2026-09-08T01:04:47.413325Z,12.92
2026-09-08T23:00:00,19.70,api.open-meteo.com,2026-09-08T01:04:47.413325Z,13.92
2026-09-09T00:00:00,19.40,api.open-meteo.com,2026-09-08T01:04:47.413325Z,14.92
2026-09-09T01:00:00,19.20,api.open-meteo.com,2026-09-08T01:04:47.413325Z,15.92
2026-09-09T02:00:00,19.10,api.open-meteo.com,2026-09-08T01:04:47.413325Z,16.92
2026-09-09T03:00:00,19.0,api.open-meteo.com,2026-09-08T01:04:47.413325Z,17.92
2026-09-09T04:00:00,18.60,api.open-meteo.com,2026-09-08T01:04:47.413325Z,18.92
2026-09-09T05:00:00,18.30,api.open-meteo.com,2026-09-08T01:04:47.413325Z,19.92
2026-09-09T06:00:00,18.0,api.open-meteo.com,2026-09-08T01:04:47.413325Z,20.92
2026-09-09T07:00:00,19.0,api.open-meteo.com,2026-09-08T01:04:47.413325Z,21.92
2026-09-09T08:00:00,20.10,api.open-meteo.com,2026-09-08T01:04:47.413325Z,22.92
2026-09-09T09:00:00,21.30,api.open-meteo.com,2026-09-08T01:04:47.413325Z,23.92
2026-09-09T10:00:00,21.90,api.open-meteo.com,2026-09-08T01:04:47.413325Z,24.92
2026-09-09T11:00:00,22.80,api.open-meteo.com,2026-09-08T01:04:47.413325Z,25.92
2026-09-09T12:00:00,23.50,api.open-meteo.com,2026-09-08T01:04:47.413325Z,26.92
2026-09-09T13:00:00,23.80,api.open-meteo.com,2026-09-08T01:04:47.413325Z,27.92
2026-09-09T14:00:00,24.30,api.open-meteo.com,2026-09-08T01:04:47.413325Z,28.92
2026-09-09T15:00:00,24.20,api.open-meteo.com,2026-09-08T01:04:47.413325Z,29.92
2026-09-09T16:00:00,24.10,api.open-meteo.com,2026-09-08T01:04:47.413325Z,30.92
2026-09-09T17:00:00,23.40,api.open-meteo.com,2026-09-08T01:04:47.413325Z,31.92
2026-09-09T18:00:00,22.40,api.open-meteo.com,2026-09-08T01:04:47.413325Z,32.92
2026-09-09T19:00:00,20.90,api.open-meteo.com,2026-09-08T01:04:47.413325Z,33.92
2026-09-09T20:00:00,19.70,api.open-meteo.com,2026-09-08T01:04:47.413325Z,34.92
2026-09-09T21:00:00,18.40,api.open-meteo.com,2026-09-08T01:04:47.413325Z,35.92
2026-09-09T22:00:00,17.30,api.open-meteo.com,2026-09-08T01:04:47.413325Z,36.92
2026-09-09T23:00:00,16.80,api.open-meteo.com,2026-09-08T01:04:47.413325Z,37.92
2026-09-10T00:00:00,16.50,api.open-meteo.com,2026-09-08T01:04:47.413325Z,38.92
2026-09-10T01:00:00,16.30,api.open-meteo.com,2026-09-08T01:04:47.413325Z,39.92
2026-09-10T02:00:00,16.30,api.open-meteo.com,2026-09-08T01:04:47.413325Z,40.92
2026-09-10T03:00:00,16.90,api.open-meteo.com,2026-09-08T01:04:47.413325Z,41.92
2026-09-10T04:00:00,16.90,api.open-meteo.com,2026-09-08T01:04:47.413325Z,42.92
2026-09-10T05:00:00,17.20,api.open-meteo.com,2026-09-08T01:04:47.413325Z,43.92
2026-09-10T06:00:00,17.0,api.open-meteo.com,2026-09-08T01:04:47.413325Z,44.92
2026-09-10T07:00:00,18.20,api.open-meteo.com,2026-09-08T01:04:47.413325Z,45.92
2026-09-10T08:00:00,21.0,api.open-meteo.com,2026-09-08T01:04:47.413325Z,46.92
2026-09-10T09:00:00,22.80,api.open-meteo.com,2026-09-08T01:04:47.413325Z,47.92
2026-09-10T10:00:00,24.0,api.open-meteo.com,2026-09-08T01:04:47.413325Z,48.92
2026-09-10T11:00:00,25.0,api.open-meteo.com,2026-09-08T01:04:47.413325Z,49.92
2026-09-10T12:00:00,25.90,api.open-meteo.com,2026-09-08T01:04:47.413325Z,50.92
2026-09-10T13:00:00,26.50,api.open-meteo.com,2026-09-08T01:04:47.413325Z,51.92
